phase,talker,behaviour,dialogue,nextPhases
0,아케르나르,,너는 별 보는 게 좋은 거야?,
0,player,,응. 예전부터 계속 좋아했어.,
0,아케르나르,,그러고 보니 네가 하늘 위의 나를 봐서 내가 너와 만날 수 있었던 거였지.,
0,아케르나르,,날 보고 있었다면 주변 별자리들도 이미 봤으려나?,
0,아케르나르,,"내 주변에도 별들이 많거든. 대부분 얼굴만 아는 사이긴 하지만, 멜리크는…",
0,player,,멜리크?,
0,아케르나르,,내게 있어 정말 친구 같은 별이야.,
0,player,,그냥 친구가 아니라?,
0,아케르나르,,"아, 나 혼자 친구라고 생각하는 거일 수도 있으니까.",
0,아케르나르,,"음, 있잖아, 혹시 너는 내가 말을 거는 게 귀찮아?",
0,player,,전혀!,
0,아케르나르,,그렇게 대답할 거라 생각은 했어.,
0,아케르나르,,"내가 이걸 물어본 이유는, 내가 멜리크를 왜 친구라고 부르지 않는지 설명하기 위해서야.",
0,아케르나르,,어렸을 때 내 주변 사람들은 오빠들이랑 아빠가 전부였어.,
0,아케르나르,,그런데 오빠들은 내가 말을 걸면 핑계를 대면서 피하기 바쁘더라고.,
0,아케르나르,,"사실 아빠가 있을 땐 그나마 괜찮았는데, 없을 때는 나를 쳐다보지도 않았어.",
0,아케르나르,,아빠도 엄마를 잃고 나서는 나랑 대화하는 걸 피했고.,
0,아케르나르,,그래서 멜리크를 처음 만났을 때는 진짜 좋았어.,
0,아케르나르,,내 말을 웃으면서 들어준 유일한 사람이니까.,
0,아케르나르,,"아니, 너한테 꼭 웃으면서 얘기를 들어달란 얘기는 아니라, 그냥 그렇다고.",
0,,,(아케르의 얼굴이 홍조를 띠고 있다.),
0,*,Select,멜리크가 너한테는 소중한 사람인 거구나.|멜리크를 좋아해?,1|2
1,아케르나르,,그렇지! 소중한 사람.,
1,아케르나르,,딱 좋은 표현이야. 맘에 드는 단어네.,
1,*,Next,,3
2,아케르나르,,좋아하냐고?,
2,아케르나르,,"설마, 이성적으로 좋아하냐고 묻는 거야?",
2,,,(뺨에만 올라와 있던 홍조가 얼굴 전체로 번졌다.),
2,아케르나르,,"…이성으로 좋아하기에는 과분한 사람이야. 아니, 이제는 별인가.",
2,*,Next,,3
3,아케르나르,,멜리크에게는 늘 고마워하고 있어.,
3,아케르나르,,하지만 혹시 내가 걔한테 민폐 끼치는 건 아닐지가 걱정이야.,
3,,,(아케르의 표정이 급격하게 우울해졌다.),
3,아케르나르,,"으, 저번에도 그랬는데, 오늘도 내가 분위기를 이상하게 만들어 버렸네. 미안. 다음부터는 이러지 않을게.",
