phase,talker,behaviour,dialogue,nextPhases
0,player,,우와…… 천이 산을 이루고 있네요. 웬 천들이에요?,
0,알파드,,전부 내가 고안한 색상들의 옷감이야…… 색이 마음에 들지 않는다고 전부 거절당했어……,
0,알파드,,주로 색이 연하다고 해서 색을 진하게 만들어왔는데 이번엔 색이 너무 진하다고 하네.,
0,player,,그럼 다시 연하게 하면 되지 않을까요?,
0,알파드,,하지만 연한 옷감들도 확인하고는 본인들이 찾는 색이 아니라고 하더라고…… 좀 더 원색적인 색은 없냐면서 말이지……,
0,알파드,,심지어 일부 별들은 '색깔이 할머니가 좋아하실 거 같다'고 얘기하는 손님도 있었고…… 색을 진하게 하면 그나마 좀 나아질까 했는데……,
0,알파드,,예전엔 안 이랬었던 거 같은데…… 어쩌다 이렇게 된 거지……,
0,player,,예전에는 어땠었나요?,
0,알파드,,옛날엔 은은한 빛깔이 보기 좋다면서 많이 찾아오곤 했어. 부담 없이 무난한 면이 있다고 다들 얘기했었어.,
0,알파드,,"지금은 찾는 게 많이 다른 거 같아. 다들 그냥 빨간색, 그냥 검은색 같은 원색을 많이 찾더라고.",
0,알파드,,하지만 천연염료로는 그런 색들을 내기 힘들어서…… 그러다 보니 다른 별들도 자연스럽게 안 찾아오는 거 같더라고……,
0,player,,원색을 내기 힘들다면 다른 방법으로 어필하는 건 어떨까요?,
0,알파드,,다른 방법? 예를 들면?,
0,*,Select,천연 재료를 써서 염색하니까 피부에 좋다든지요?|음…… 이 색깔은 하나밖에 없는 색이라고 홍보한다든지요?,1|2
1,알파드,,피부에 좋다는 거?,
1,player,,일반 염색약을 쓴 거보단 자연에서 온 재료니까 피부에 덜 자극적이라고 얘기하는 거죠.,
1,알파드,,아…… 그 방법도 써봤어. 그런 장점도 있다고 하니까 더더욱 젊은 별보단 나이 든 별들이나 좋아할 거 같다고 얘기를 하더라고.,
1,*,Next,,3
2,알파드,,하나밖에 없는 색?,
2,player,,네! 전에 같은 '쪽'으로 염색해도 다른 색이 나온다고 하셨잖아요? 그걸 이용해서 홍보하면 되지 않을까요?,
2,player,,예를 들어서 원하는 색을 만들어준다든지 하는 식으로요.,
2,알파드,,"그것도 해봤는데…… 처음엔 좀 찾아왔는데 그마저도 더 진한, 다양한 색들이 많이 나오게 되면서 잘 안 찾아오더라고……",
2,*,Next,,3
3,player,,아…… 그렇군요…… 죄송해요. 도움을 드리고 싶었는데.,
3,알파드,,"아니야, 괜찮아. 생각해줬다는 것만으로도 고마워.",
3,알파드,,하지만 뭔가 대책이 필요하긴 한데……,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
