phase,talker,behaviour,dialogue,nextPhases
0,player,,어? 또 찾아오셔…… 으앗?!,
0,알파드,,"성공이야! 다 네 덕분이야~ 고마워, 정말!",
0,player,,으윽! 잠깐……! 그렇게 안으시면……! 허리! 허리가!,
0,알파드,,"앗! 미안, 미안. 너무 흥분했나 봐.",
0,*,Select,그때 훌쩍 가버리시더니…… 뭘 성공하셨다는 거예요?|다시는 안 돌아오시는 줄 알았어요. 근데 갑자기 돌아와서는 껴안기까지 하시고……,1|2
1,알파드,,너에게 선물을 주었을 때 네가 한 말 있잖아?,
1,player,,제가 했던 말이요?,
1,*,Next,,3
2,알파드,,더는 안된다고 생각했는데…… 네가 해준 얘기 덕분에 좋은 아이디어가 떠올랐어.,
2,알파드,,그리고 그 아이디어는 천연염료만이 할 수 있는 거라고 생각이 들었거든.,
2,player,,천연염료만이 할 수 있는 거요?,
2,*,Next,,3
3,알파드,,'향기가 난다'고 했던 거. 거기서 아이디어를 얻었어.,
3,알파드,,옷에 향료를 쓸 수 있다고는 하지만 자연에서 내는 향을 따라잡기는 힘들 것 같아서……,
3,알파드,,그래서 전에 너한테 선물할 때처럼 향이 센 재료들로 염색을 했더니 옷감에 향이 배더라고.,
3,알파드,,옷에서 향기가 난다니 신기해하며 찾는 사람들이 점점 많아졌어. 덕분에 천연 염색을 포기할 필요도 없어졌고 말이야.,
3,알파드,,네 말 덕분이야. 정말 고마워. 자. 이건 그에 대한 선물이야. 전에 줬던 옷은 내가 향을 유지하는 방법을 알기 이전에 만든 옷이라 분명 시간이 지나면 향기가 사라질 거야.,
3,알파드,,하지만 이 옷은 계속 향이 유지될 거야. 오랜만에 힘내서 연구한 거니까 분명 오래갈 거야. 이건 확신할 수 있어.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
