phase,talker,behaviour,dialogue,nextPhases
0,player,,앗! 또 오셨네요……? 쉴 곳을 못 구하신 건가요?,
0,안타레스,,"아니, 몇 군데 있긴 해. 여기보다 푹신한 곳도 있었고, 여기보다 멋진 곳도 많았어. 그 놈의 밝은 불빛만 없다면 말이야.",
0,player,,밝은…… 불빛이요?,
0,안타레스,,그래. 여기처럼 적당히 은은하면 좀 좋아.,
0,안타레스,,밖은 어두운 데도 어두운 줄 모를 정도로 밝은 불빛들이 새어나오는 데다 어떤 곳은 깜빡거리는 거까지 달려 있었다고.,
0,안타레스,,태양 녀석이 이 별 바로 코 앞에서 빛나고 있어도 이 정도는 아닐거다.,
0,안타레스,,여행동안 쌓인 피로 좀 풀려고 했더니만…… 덕분에 눈도 못 붙였어.,
0,안타레스,,으으으…… 짜증나는구만. 꼭 누군가를 줘패야지만 기분이 풀릴 것 같은데……,
0,안타레스,,"…… 농담이야, 농담. 그런 눈으로 보지마.",
0,*,Select,저…… 주먹을 그렇게 휘두르시면서 얘기하셔도……|주먹을 휘두르고 있는 점에서 이미 농담 아닌 거 같은데요……,1|1
1,안타레스,,아…… 이건 그러니까…… 무의식적으로 나오는 행동이야. 나도 모르게 말이지.,
1,player,,대체 어떻게 하면 그런 행동이 본인도 모르게 나올 수 있는 거에요?,
1,안타레스,,격투장 생활을 오~래 하면?,
1,player,,왠지 격투랑 상당히 친해보이긴 하셨는데…… 얼마나 오래 하셨으면 그래요?,
1,안타레스,,몰라. 세는 건 포기한지 오래 전이라. 원래는 대충 벌고 빠질려고 했는데 생각보다 오래하게 됐어.,
1,안타레스,,그나저나 내가 격투랑 친해보인다고?,
1,player,,"방금 주먹질하시는 거랑…… 또, 농담이라곤 하셨지만 말이 험하셔서 그런 생각이 들었어요.",
1,안타레스,,말이 험하다고? 끄응…… 이래서 헤라가 입에 거름망이라도 달라고 했던건가.,
1,player,,헤라…… 요?,
1,안타레스,,내 예전 주인이라고 생각하면 돼. 나머진 알려고 할 필요 없고.,
1,안타레스,,관련된 부분을 얘기하면 나를 우주 끝까지 쫓아온다고 했는데…… 내가 이길수는 있지만 별로 다시 보고 싶은 얼굴은 아니어서.,
1,안타레스,,"흐아암…… 아우, 졸려. 안되겠다. 여기서 좀 자고 갈게.",
1,player,,네. 불은 꺼드릴까요?,
1,안타레스,,저 모닥불 같은 거? 괜찮아. 딴 데서 보던 불빛보다야 나으니까.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
