phase,talker,behaviour,dialogue,nextPhases
0,안타레스,,넌 그 이상한 망원경을 잘도 들여다보고 있구나.,
0,player,,아주 오래 보면 힘들긴 하지만 한동안은 볼 수 있게 됐어요.,
0,안타레스,,대체 저 위를 보면 뭐가 좋길래 그러고 있는 거야?,
0,player,,뭐가 좋다기보단…… 이걸로 별을 보고 있으면 할아버지랑 함께했던 추억들이 떠올라서요……,
0,player,,그리고 지금 밖으로 나갈 수 없다는 것도 잊게 해주거든요.,
0,안타레스,,흐음…… 생각보다 깊은 이유가 있었구만.,
0,안타레스,,그래도 말이지. 이런 좁은 곳에만 있다 보면 몸이 막 쑤시고 그러지 않아?,
0,player,,글쎄요…… 그런 생각은 별로……,
0,안타레스,,그렇게 생각하지 말고. 잠깐 몸이라도 움직여보는 건 어때?,
0,player,,"아, 알겠으니까…… 팡팡 소리 내면서 주먹 맞부딪치는 건 그만둬주세요……",
0,안타레스,,"앗, 미안. 여기 와서 몸을 제대로 움직인 적이 한 번도 없어서. 오랜만에 몸을 푼다고 생각하니 흥분해서 나도 모르게 그만.",
0,안타레스,,너는 몸을 많이 움직이는 성격은 아닌 거 같으니…… 스트레칭 정도만 가르쳐 줄게.,
0,안타레스,,우선 편하게 다리를 쭉 뻗고 앉아봐. 그리고 팔을 쭉 펴고 너가 갈 수 있는 데까지 허리를 굽혀봐.,
0,player,,흐읍…… 끄응……,
0,안타레스,,"흐음…… 아무리 그래도 발목까지도 안 오는 건 좀 너무한 거 아니냐. 자, 내가 좀 도와줄게. 이렇게 조금 눌러주면……",
0,player,,끄앗! 아파요! 아파!,
0,안타레스,,아프기는…… 조금만 더 버텨봐! 버틸 수 있어!,
0,*,Select,아니요! 진짜로 아파요! 항복! 항보옥!!!!|끄응…… 흐읍!,1|2
1,안타레스,,야! 무슨 항복까지 외치고 그러냐. 알았어.,
1,player,,후아…… 왜 자꾸 누르시는 거에요! 아파 죽는 줄 알았네……,
1,안타레스,,아무리 그래도 운동 안 한 몸이라고 너무 티 내는데. 그 정도만 해도 너는 충분히 운동 되겠다.,
1,*,Next,,3
2,안타레스,,"봐봐! 버틸 수 있잖아! 자, 조금만 더!",
2,player,,"아, 안돼요! 진짜! 이 이상은! 무리…...!",
2,안타레스,,"알았다, 알았어. 자, 여기까지만 내려오는 걸 목표로 해 봐.",
2,player,,네에에……,
2,*,Next,,3
3,안타레스,,"자, 나도 오랜만에 몸 좀 풀어볼까. 혹시 안 쓰는 책이나 나무판자 같은 거 있어?",
3,player,,그런 건 없지만…… 불을 땔 때 쓰는 나무라면 있긴 해요.,
3,안타레스,,아아. 장작 얘기하는 건가? 그거라도 괜찮으니까 줘봐.,
3,player,,네…… 네? 진짜로 가지고 와요? 그거 그냥 나무인데……,
3,안타레스,,"괜찮아. 장작으로 하면 손이 상할 수 있긴 한데…… 뭐, 장갑 끼고 하면 괜찮겠지.",
3,player,,여기 있어요. 손 다치시는 거 아니에요?,
3,안타레스,,괜찮아. 이거보다 더한 것들도 해봤으니까. 하압!,
3,player,,우와…… 진짜 나무를 쪼갰어…… 그것도 반으로……,
3,안타레스,,이 정도는 흔하게 쪼갰으니까. 놀랄 일도 아니야.,
3,player,,엄청 놀라운데요…… 왜 격투장에서 우승하셨는지 알 것도 같네요.,
3,안타레스,,우승이라는 게 없어서 우승을 한 적은 없지만 말이지.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
