phase,talker,behaviour,dialogue,nextPhases,
0,player,,"안녕하세요, 안타레스 씨…… 어라? 표정이 안 좋아 보이세요.",,
0,안타레스,,엇! 아…… 너구나.,,
0,player,,긴장까지 하시고…… 무슨 일 있으세요?,,
0,안타레스,,내게 복수를 하고 싶은 또 다른 인물이 있는 모양이야.,,
0,안타레스,,저 멀리에서 '오리온'이 이 쪽으로 오고 있다는 소식을 들어서 말이야. 아무래도 여기서 더는 못 머물 거 같다.,,
0,*,Select,오리온이요? 그게 누군데요?|더는 못 머물 거 같다니…… 그게 무슨 소리에요?,1|2,
1,안타레스,,오리온…… 다른 이름으로는 '리겔루스'라고도 불리는 별이야. 한 때 내 목표물이기도 했지.,,
1,player,,목표물이요? 격투장에서 꼭 이기고 싶었던 별이었던 건가요?,,
1,안타레스,,"아니, 격투장에서 있었던 일이랑은 다른 얘기야. 다른 일인데……",,
1,*,Next,,3,
2,안타레스,,이 녀석 또한 나에게 원한이 있을 녀석 중 하나라서 말이지.,,
2,안타레스,,지금은 실명했다고 들었으니 만나봐야 나인지 알지도 못하겠지만…… 껄끄러운 사이끼리 만나서 좋을 일은 없지.,,
2,player,,뭔가 안 좋은 일이 있었던 건가요?,,
2,안타레스,,그녀한테는 안 좋은 걸 넘어서 불행한 일이지.,,
2,*,Next,,3,
3,안타레스,,"아으, 이걸 설명해야 하나……",,
3,안타레스,,"…… 에잇, 모르겠다. 내가 한 일 가지고 안 한 일처럼 굴 수도 없는 노릇이고.",,
3,안타레스,,전에 내가 헤라라는 인물과 만났다는 얘기를 해줬을 거야. 기억나?,,
3,player,,네. 매번 그 사람 이름이 언급만 되면 뒷이야기를 안 해주셔서 기억하고 있어요.,,
3,안타레스,,그래. 이번에 찾아오는 오리온은 내가 헤라 밑에 있을 때 만났던 별이야.,,
3,안타레스,,…… 첫 만남부터 그녀한테 독을 쏴서 관계가 썩 좋지는 않았지만 말이지.,,
