phase,talker,behaviour,dialogue,nextPhases
0,player,,어? 안녕하세요! 기차를 타고 오시는 거 같았는데…… 꽤 가까운 곳에서 오시는 건가요?,
0,아크투루스,,"아니, 근처에 숙소를 잡았어. 이름이…… '목동자리'였나?",
0,아크투루스,,그런 숙소는 처음 잡아봤어. 어제 자면서 꽤 신기한 경험을 했어.,
0,player,,신기한 경험이요?,
0,아크투루스,,"응. 침대는 삐걱거리지, 방음은 하나도 안 되어 있지, 아침은 빈약하지……",
0,아크투루스,,하도 신경이 쓰여서 주인 보고 음식 질은 못 바꿀 테니 방이라도 바꿔달라 했는데도 똑같더라고.,
0,player,,저…… 그러면 아크투루스 씨는 한 번도 그런 곳에서 주무셔보신 적이……,
0,아크투루스,,"없지. 전혀. 내 인생에서 살아본 숙소 워스트 탑 5, 아니 탑 3에 들 정도였어.",
0,*,Select,그럼 평소에는 대체 어떤 곳에서 주무셨던 거에요?|평소에는 굉장히 좋은 곳에서 사셨나 보네요……,1|1
1,아크투루스,,"으응? 글쎄, 갑자기 그렇게 얘기해도…… 흠…… 뭐라고 얘기해주면 좋을까.",
1,아크투루스,,"뭐, 황금 트로피로 장식된 방이랑 피로를 풀어줄 마사지사는 당연히 있는 거니 넘어가고.",
1,아크투루스,,특이하다고 할만한 건…… 와인 저장고가 따로 있다는 거 정도? 피로가 쌓인 날 와인을 마시면 그 맛이......,
1,아크투루스,,크으! 벌써 한 잔 마시고 싶구만! 나중에 숙소에 가면 얘기해야겠어. 그 정도는 있겠지.,
1,player,,어떤 숙소인지는 모르겠지만…… 평범한 여관이면 아마 없을 거라고 생각해요.,
1,아크투루스,,에엥? 그런 것도 하나 없는 곳이 있단 말이야?,
1,아크투루스,,이런! 저 숙소에서 오래 살지는 못하겠군.,
1,아크투루스,,"곧 다른 곳으로 옮기든가 해야지, 원……",
1,player,,음…… 저…… 혹시 숙소 사장님이 화내거나 그러진 않으시던가요?,
1,아크투루스,,뭐? 화낸다고? 왜? 무엇 때문에?,
1,player,,아니요…… 그냥……,
1,아크투루스,,"뭐, 음식의 질에 관해 얘기할 땐 눈초리가 조금 올라가긴 했지.",
1,아크투루스,,방을 바꿔 달라고 얘기했더니 죄송하다면서 군말 없이 바꿔주긴 했는데?,
1,player,,"아…… 그, 그런가요?",
1,아크투루스,,"그게 당연한거야. 숙소 입장에선 민폐 손님처럼 볼 순 있겠지만 난 어쨌든, 손님이잖아?",
1,아크투루스,,손님은 왕이란 말이지. 그러니 불편한 게 있다면 건의하는 건 당연한거야.,
1,아크투루스,,가장 중요한 건 내 기분이니까 말이지. 내가 쉬러 왔는데 내가 눈치 봐서야 하겠니?,
1,아크투루스,,어쨌건 안 그래도 피곤해 죽겠는데 돌아가서 피로를 녹일 와인까지 없을 거라니 슬프구만.,
1,아크투루스,,꼬마야. 너희 집에 있는 거라도 하나 주지 않으련?,
1,player,,여기에도 와인은 없어요. 포도주스는 있지만……,
1,아크투루스,,왓? 진짜 잘 풀리는 게 하나도 없구만. 그거라도 줘. 휴우…… 머리가 지끈지끈 해지는구만.,
