phase,talker,behaviour,dialogue,nextPhases
0,아크투루스,,다음 공연장은 여기…… 가 아닌가 보네.,
0,아크투루스,,아이씨…… 분명 잘 찾았는데……,
0,player,,안녕하세요?,
0,아크투루스,,"오! 안녕, 꼬마? 미안한데, 여기가 어딘지 알 수 있니?",
0,player,,여기요? 음…… 여기는 저희 집이라고 얘기 드리면 되나요?,
0,아크투루스,,"아니, 그게 아니라.",
0,player,,그럼 여긴 지구예요. 좀 더 크게는 태양계라고 부르는 곳이고요.,
0,아크투루스,,"태양계? 이런, 맙소사……",
0,아크투루스,,버스 탔을 때 졸지 말았어야 하는 건데......,
0,,,(아크투루스는 곧 누군가한테 연락하고는 전화를 끊었다.),
0,player,,누구한테 연락하신 거에요?,
0,아크투루스,,내 소속사 사장님. 길을 잘 못 들어서 다음 공연 못 갈 거 같다고 얘기했어.,
0,아크투루스,,겸사겸사 당분간 공연하는 건 힘들고 며칠간 쉬어야겠다고 얘기도 했지.,
0,player,,...... 예?,
0,아크투루스,," 뭐, 어때? 어차피 피곤해서 딴 길로 새버린 거니까 아예 좀 쉬었다 가지, 뭐.",
