phase,talker,behaviour,dialogue,nextPhases
0,고양이 눈 성운,,안녕! 우리 처음 만나는 거지?,
0,player,,안녕?,
0,고양이 눈 성운,,"반가워. 자, 악수!",
0,고양이 눈 성운,,"음, 원래 말이 별로 없어?",
0,고양이 눈 성운,,"아, 말하긴 좀 늦은 것 같지만 말은 편하게 할게!",
0,player,,귀가 고양이 귀네?,
0,고양이 눈 성운,,"아, 이거?",
0,고양이 눈 성운,,"음, 그냥 내가 고양이 눈 성운이라서 생긴 걸 거야!",
0,고양이 눈 성운,,사실 나도 정확한 이유는 잘 모르겠어. 헤헤.,
0,player,,잘 어울려.,
0,고양이 눈 성운,,진짜?,
0,고양이 눈 성운,,난 사실 없었으면 했는데. 돌아다니기 조금 불편해서.,
0,고양이 눈 성운,,나 앞으로 자주 놀러 와도 돼?,
0,고양이 눈 성운,,"아, 나 혼자 너무 많이 말했나? 미안, 너무 들떴네.",
0,player,,괜찮아. 자주 놀러 와도 돼.,
0,고양이 눈 성운,,"진짜? 나 네가 귀찮아할 정도로 자주 찾아올 수도 있는데, 그래도 돼?",
0,고양이 눈 성운,,만약 그래도 되는 거라면 고마워!,
0,고양이 눈 성운,,"다음에 또 놀러 올 테니까, 나 잊어버리면 안 돼!",
