phase,talker,behaviour,dialogue,nextPhases
0,데네볼라,,"어딨지, 어딨지? 어딨냐구!!!!",
0,데네볼라,,아이씨! 분명 잘 보관한다고 보관하고 있었는데!,
0,player,,되게 바빠보이시네요……,
0,데네볼라,,"아, 꼬마! 너도 찾는 거 좀 도와줘!",
0,데네볼라,,되게 중요한 걸 잃어버렸거든?,
0,player,,혹시…… 이거 얘기하시는 건가요?,
0,데네볼라,,응……? 야! 니가 왜 그걸……!,
0,데네볼라,,빨리 이리 내!,
0,,,(데네볼라는 주인공의 손에서 마이크를 홱 낚아챘다.),
0,데네볼라,,하아…… 다행이야…… 이거마저 잃어버렸으면 어쩌나 했네……,
0,데네볼라,,"야, 너, 이거 어디서 났어. 언제 훔쳐간거야?",
0,player,,훔쳐가요?,
0,player,,저는 훔쳐간 적 없어요! 오히려 본인이 바쁘게 간다면서 떨어뜨리고 간 거 가지고 있었던 거라구요.,
0,데네볼라,,"쓰읍, 꼬마야. 거짓말하는 건 나쁜 거야. 이게 왜 떨어져?",
0,player,,"아이, 진짜에요! 언제 없어진 걸 아셨는데요?",
0,데네볼라,,그러니까 니 집에서 나와서 일 보러 도착하자마자 확인했을 땐 없었고!,
0,데네볼라,,나가기 직전에 확인했을 땐 있었…… 앗.,
0,player,,"아, 뭐에요! 본인이 제대로 확인을 못 한 거면서!",
0,데네볼라,,"미, 미안. 진짜 미안.",
0,player,,이제 말 안 할 거에요!,
0,데네볼라,,"꼬마야, 진짜 미안. 내가 이렇게 빌게.",
0,player,,……,
0,데네볼라,,"…… 야, 진짜 말 안 할거야?",
0,player,,……,
0,데네볼라,,"야, 내가 맛있는 거 줄게. 화 풀어.",
0,player,,…… 흥!,
0,데네볼라,,"…… 야, 이거 때문에 내가 부족 사람들 조르고 졸라 억지로 도시까지 갔었는데 불쌍하지도 않냐?",
0,데네볼라,,게다가 갔더니 하필 그 가게가 아예 다른 곳으로 이전해서 구할 수도 없더라.,
0,player,,……,
0,데네볼라,,"아아악! 어쩌라는 거야, 대체!",
0,데네볼라,,"이래서 애들 상대하는 거 안 좋아한다니까, 진짜!",
0,데네볼라,,"야, 뭘 원해, 뭘! 다 들어줄게!",
0,player,,…… 진짜요?,
0,데네볼라,,진짜!,
0,player,,진짜 뭐든지 다 들어주시는 거죠?,
0,데네볼라,,"진짜, 진~짜로!",
0,player,,그럼……,
0,*,Select,마이크를 갖고 계셨던 이유가 듣고 싶어요.|먹을 거 좀 주실 수 있나요?,1|2
1,데네볼라,,"뭐야, 그거야 식은 죽 먹…… 엉? 뭐라고?",
1,player,,마이크를 이렇게 들고 다니는 분은 처음 봐서요.,
1,데네볼라,,"무, 뭐. 혀, 현대 문명에선 다들 마이크 하나쯤은 들고 다니는 거 아니야?",
1,player,,제 주변에는 적어도 그런 사람은 없던데요.,
1,데네볼라,,사람이니까 없는 거지! 난 별이잖아~,
1,player,,다른 별들도 마이크를 이렇게 항상 가지고 다니시는 분은 없던데요.,
1,데네볼라,,…… 정말 다른 어느 누구도 안 가지고 다니냐?,
1,player,,네.,
1,데네볼라,,이런.,
1,player,,왜 마이크를 가지고 다니시는 거에요?,
1,*,Next,,3
2,데네볼라,,"뭐야, 결국 배가 고픈 거였어?",
2,데네볼라,,"그런 거였으면 아까 얘기를 하지. 자, 여기, 내가 먹으려고 했던 빵.",
2,데네볼라,,반으로 갈라서 줄게. 나도 돈이 많지 않아서 흔하게 못 구한단 말이야.,
2,player,,감사합니다.,
2,데네볼라,,에휴…… 그래도 마이크 찾아서 다행이다.,
2,player,,보통은 이렇게 마이크 들고 다니는 별은 많지 않던데……,
2,player,,그 마이크엔 무슨 사연이라도 있는거에요?,
2,데네볼라,,"흐엌, 컼, 켁. 뭐, 뭐라고?",
2,player,,왜 항상 마이크를 가지고 다니시냐구요.,
2,데네볼라,,"아, 이거?",
2,데네볼라,,"그, 그게……",
2,*,Next,,3
3,데네볼라,,……,
3,player,,데네볼라 씨? 갑자기 왜……,
3,데네볼라,,잠깐만. 잠깐만 생각할 시간을 좀 줘.,
3,데네볼라,,그거에는 꼭 답변을 해줄테니까……! 다만 잠깐 정리할 시간만 좀 줘.,
