phase,talker,behaviour,dialogue,nextPhases
0,player,,음…… 여기는 별이 잘 안 보이네……,
0,player,,방향을 다른 곳으로 돌려볼까……,
0,,,(주인공이 망원경의 방향을 돌리던 그 때였다.),
0,???,,아얏!,
0,player,,어? 뭐지?,
0,,,(소녀가 앞을 보니 날카로운 눈매의 여성 한 명이 이마를 어루만지고 있었다.),
0,???,,"아야야…… 뭐야, 이 큰 망원경은!",
0,player,,"죄, 죄송해요! 앞에 있는 줄 모르고……",
0,???,,"아이씨, 깜짝이야! 또 뭐야!",
0,player,,……,
0,???,,……,
0,player,,저…… 망원경에 부딪히셨죠?,
0,???,,"으, 응. 보면 모르겠냐.",
0,player,,어디 많이 다치시진 않으셨나요? 저…… 그…….,
0,???,,응? 뭔데?,
0,player,,그…… 뭐라고 불러드려야……,
0,???,,"…… 풉. 뭐야, 그 태도는.",
0,player,,네?,
0,데네볼라,,데네볼라. 그냥 그렇게 부르면 돼.,
0,player,,"네? 아, 네……",
0,데네볼라,,더 볼 일 없으면 나 간다.,
0,데네볼라,,지금도 이마 붓는 거 같네…… 부으면 따지러 올 거다!,
