phase,talker,behaviour,dialogue,nextPhases
0,player,,어? 플레임! 안녕…… 히익! 뭐야? 다크서클이 엄청 심해!,
0,불꽃 성운,,아…… 안녕…… 어제 잠을 잘 못 자서 말이야……,
0,*,Select,어제 밤새서 일하기라도 한거야?|혹시 저번에 아픈 거때문에 잠을 잘 못 잔거야?,
1,불꽃 성운,,으응…… 어제 밤새가면서…… 창고를 지켰거든……,
1,*,Next,,3
2,불꽃 성운,,아니…… 비록 허리가 아직 조금 아프긴한데…… 못 잘 정도는 아니야……,
2,player,,허리 때문이 아니면…… 모기가 물기라도 한거야?,
2,불꽃 성운,,아니…… 그것도 아니야…… 밤에 창고를 지키느라……,
2,*,Next,,3
3,player,,뭐야?! 창고를 지켰다고? 적이 들어오기라도 한거야?,
3,불꽃 성운,,아니…… 그건 아니고…… 원래 어른들이 한 분씩 입구에 지키고 서 계셨었거든?,
3,불꽃 성운,,그런데…… 원래 순서인 분이 아프셔서…… 지킬 사람이 없다고……,
3,player,,뭐? 그래서?,
3,불꽃 성운,,…….,
3,player,,플레임? 플레임!,
3,불꽃 성운,,"흐아?! 미, 미안. 잠깐 졸았네…… 어디까지 얘기했었지?",
3,player,,지킬 사람이 없으셔서?,
3,불꽃 성운,,아…… 다른 어른 분들도 바쁘시다고 내가 서겠냐고 물어서……,
3,player,,그래서? 그걸 서겠다고 얘기한거야?,
3,불꽃 성운,,응. 어른들이 당황해서 말리시긴 했는데…… 어른들 말대로 바쁘시니까……,
3,player,,"아니, 아니. 잠깐만. 낮이면 모르겠는데 그 때는 밤이었잖아? 어른들도 밤에는 주무시는 거 아니야?",
3,불꽃 성운,,아니야…… 창고 입구를 지키는 어른은 밤에도 일하는 걸……,
3,player,,내가 말하고 싶은 건 그 분 말고 말이야. 그 때 다른 분이 서도 되는 거 아니었어?,
3,불꽃 성운,,응…… 그래서 다른 분이 같이 서셨어……,
3,player,,……어? 혼자 선 게 아니었어?,
3,불꽃 성운,,응. 어른 분들이…… 다른 어른이 서면 되니까 나는 가서 자라고 하셨어.,
3,player,,그런데 왜 같이 밤을 새가면서 창고를 지켰던 거야?,
3,불꽃 성운,,그래도 어른들이 지키겠냐고 물어보셨는데…… 그러겠다고 대답했으니까 같이 서야지……,
3,불꽃 성운,,그러겠다라고 해놓고 같이 안 서면…… 어른들이 한 입으로 두 말한다고 생각하실 거 아니야……,
3,player,,뭐? 그게 무슨 소리야? 그렇게 생각하시는 어른이 어딨어?,
3,player,,게다가 원래 창고를 지키는 건 네 일도 아니잖아? 원래 일도 아니면서 창고를 지키겠다고 했으니 지켜야겠다고 생각하는 게 더 이상한데?,
3,불꽃 성운,,…….,
3,*,Select,또 자네…… 그냥 둘까.|플레임? 플레임!,4|5
4,player,,…… 한참동안 자네……,
4,불꽃 성운,,…… 으아악!,
4,player,,괜찮아? 놀란 얼굴을 하고……,
4,불꽃 성운,,지금 몇 시지? 우와앗! 시간이 이렇게 지났잖아! 빨리! 오늘 할 거 못하면……,
4,*,Next,,6
5,불꽃 성운,,으아앗?!,
5,player,,많이 피곤해보이는데. 일을 좀 쉬는 게 어때?,
5,불꽃 성운,,으으으…… 걱정해줘서 고마워…… 하지만 오늘 할 일들을 하지 않으면……,
5,불꽃 성운,,…… 그러고보니 지금 몇 시지? 으악! 늦었다! 빨리 가 봐야겠어!,
5,*,Next,,6
6,player,,어? 플레임? 플레임! 가 버렸네……,
