phase,talker,behaviour,dialogue,nextPhases
0,글리제,,안녕? 또래 여자애는 오랜만이네. 겉모습만 또래긴 하지만.,
0,player,,널 어떻게 부르면 될까?,
0,글리제,,"음, 글리제가 이름이긴 한데, 다 부르긴 힘드니까 '리제'라고 불러도 괜찮아.",
0,글리제,,지금 지상은 어때? 아마 엄청난 기계들이 많으려나.,
0,player,,기계?,
0,글리제,,"뭐, 막 실시간으로 별의 위치를 알려준다거나, 저 멀리서 일어나는 일을 중계한다거나 하는 기계들 말이야. 기술이 어느 정도로 발전했을지 궁금해져서.",
0,player,,그런 기계라면 있어.,
0,글리제,,정말? 나 때 기술은 기술도 아니었구나…… 시간 나면 그런 얘기 좀 자주 해줄래?,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
