phase,talker,behaviour,dialogue,nextPhases
0,글리제,,"음, 어….",
0,글리제,,글리제; 오랜만이네.,
0,,,(얼굴이 살짝 붉어진다.),
0,글리제,,그렇게 난리를 쳐놓고 제정신으로 다시 오니까 좀 부끄럽네.,
0,player,,괜찮아. 진정됐다니 다행이네.,
0,글리제,,그러고 보니 너한테 아직도 말해주지 않은 게 하나 있었네.,
0,글리제,,사실 이 시계는 오빠의 유품이야.,
0,player,,…네가 고향을 떠날 땐 그런 회중시계가 없다고 하지 않았어?,
0,글리제,,"맞아. 이건, 내가 딱 한 번 다시 고향으로 돌아갔을 때 받은 거야.",
0,글리제,,"내가 한창 공학자로 이름을 날릴 때, 고향에서 처음으로 편지가 왔었어.",
0,글리제,,…오빠가 시체로 발견됐다는 편지였지.,
0,글리제,,"전염병이 돌았었는데, 몸이 약했던 오빠는 금방 죽었대.",
0,글리제,,"정말 이상했던 건, 부고를 받은 직후에도 크게 슬프지 않았다는 거야.",
0,글리제,,난 잠깐 하던 일을 멈추고 고향으로 돌아가 오빠의 짐을 정리했어.,
0,글리제,,…그리고 오빠의 방에서 나에게 쓴 편지를 발견했지.,
0,글리제,,나를 한 번도 찾아가지 못했다는 것에 대한 미안함.,
0,글리제,,자신이 부모님처럼 나에게 상처가 되었으면 어쩌지 싶은 두려움.,
0,글리제,,내가 자신을 떠나서 자유롭게 살았으면 한다는 바람.,
0,글리제,,…정말 미련 맞은 오빠야.,
0,글리제,,편지의 마지막에는 너에게 도움이 될 물건이 작업실 서랍 안에 있을 거란 추신이 있었어.,
0,글리제,,"이 선물을 위해 평생을 매달렸다는 말과,",
0,글리제,,만약 더 일찍 만들었다면 부모님이 죽는 일은 일어나지 않았을 거란 말과 함께.,
0,글리제,,대체 뭘까 궁금해하며 서랍장을 열어보자 이 시계가 눈앞에 있었어.,
0,글리제,,"시침밖에 없지만, 손안에 들어가는 크기임에도 정확하게 움직이는 시계.",
0,글리제,,그제야 오빠가 남긴 작업실의 흔적들이 눈 안에 들어왔어.,
0,글리제,,그것들은 그 십여 년 동안이 얼마나 오빠에게 있어 힘든 시간이었음을 알려줬지.,
0,글리제,,나는 그걸 보고 나서야 오빠가 죽은 걸 실감하고 한참을 울었어.,
0,글리제,,이 시계는 내 오빠의 유품이야.,
0,글리제,,별이 된 뒤로는 자유롭게 크기가 변하더라고. 내게 뜻깊은 물건이라 그런가.,
0,글리제,,이 시계는 늘 같은 시간을 가리키고 있어. 왜인지 알아?,
0,글리제,,난 오빠가 준 시계를 내 연구를 위해 분해해 버렸거든.,
0,글리제,,오빠가 날 얼마나 사랑했는지 알면서도 내게 유일하게 남긴 흔적을 내 손으로 망가뜨렸어.,
0,글리제,,"그 시계에서 힌트를 얻어 소형화된 시계를 새로 만들어 널리 보급하는 데에는 성공했지만,",
0,글리제,,오빠가 남긴 시계의 완벽한 원리는 끝내 이해하지 못했어.,
0,글리제,,오빠를 위해 원리를 찾아내야 한다고 생각했음에도 더 중요한 일이 따로 있다며 미뤄두다가 생을 마감할 때까지도 알아내지 못했지.,
0,글리제,,…가족을 가족처럼 생각하지 않은 건 나였어.,
0,글리제,,"아버지도, 어머니도, 오빠도 모두 나를 위해 살다가 죽었어.",
0,글리제,,정말 나쁜 건 나였어.,
0,글리제,,내가 내 가족을 외면한 거였어.,
0,글리제,,아직도 먼저 떠난 부모님이 원망스러워.,
0,글리제,,"그런데, 결국 그렇게 된 이유는 나 때문도 있는 거잖아.",
0,글리제,,"이미 나는 별이 되었으니까 그런 가족을 다시 만들 수는 없겠지만,",
0,글리제,,내 주변의 사람에게는 같은 실수를 반복하지 않을 거야.,
0,글리제,,"멋대로 떠나거나, 그 사람의 진심을 외면하는 등의 일들 말이야.",
0,*,Select,…내가 그중 한 명일까?|내가 너의 주변 사람이 될 수 있을까?,1|2
1,글리제,,"당연하지! 뭐, 사실 내 주변에 사람이라고 할 만한 건 너밖에 없긴 하지.",
1,글리제,,난 너에게 제일 의지하고 있는걸.,
1,*,Next,,3
2,글리제,,이미 넌 그런 사람인걸?,
2,글리제,,살아있는 동안 누구에게도 말하지 않았던 내 속마음을 다 털어놓을 정도니까.,
2,글리제,,너한테 이야기한 덕분에 마음을 잘 정리할 수 있었어.,
2,*,Next,,3
3,글리제,,"그럼, 앞으로도 잘 부탁할게.",
