phase,talker,behaviour,dialogue,nextPhases
0,하말,,기운이 없어 보이네. 밥은 먹었어?,
0,player,,대충은 먹었어.,
0,하말,,"대충이 뭐야, 맛있는 걸 먹어야지. 내가 요리만 잘했어도 레시피 몇 개 알려주는 건데.",
0,player,,처음 봤을 땐 또래처럼 보였는데.,
0,하말,,지금은 또 달라?,
0,player,,막상 보니 엄마 같은 면이 있는 것 같아서.,
0,,,"(한창 수다를 떨던 하말의 입이 굳게 다물어지더니, 커진 눈으로 빤히 쳐다본다.)",
0,하말,,내가 엄마 같다고?,
0,player,,"완전히는 아니고, 그냥 가끔.",
0,player,,혹시 기분 나빴어?,
0,하말,,"아냐, 전혀! 전혀 그렇지 않아.",
0,하말,,오히려 고마운걸. 내가 들어본 칭찬 중 최고야.,
0,player,,좋은 어머니를 뒀었나 봐.,
0,하말,,응. 정말로 좋은 분이셨어.,
0,하말,,"잠들 때마다 동화도 읽어주시고, 하품하면 머리도 쓰다듬어주셨어.",
0,player,,동화?,
0,하말,,응. 우리 엄마는 동화 작가셨거든. 나를 위한 이야기라며 본인이 쓴 동화도 자주 읽어주셨어.,
0,하말,,"내가 제일 좋아하는 동화는 엄마 양과 아기 양의 이야기인데, 엄마 양이 아기 양에게 별이 가득한 밤하늘을 보여주면서 옛이야기를 해주는 내용이야.",
0,하말,,책 읽어주실 때의 목소리도 엄청 예쁘셔! 만약 널 예전에 봤다면 매일 어머니 자랑만 했을걸.,
0,player,,많이 좋아하는구나.,
0,하말,,응! 내가 세상에서 제일 사랑하는 사람이야.,
0,하말,,……계속 곁에 같이 있진 못했지만.,
0,하말,,(하말의 표정에 씁쓸함이 드러난다.),
0,하말,,"그러고 보니, 나 궁금했던 게 있어. 여기 오는 별들은 보통 무슨 이야기를 해?",
0,player,,"음, 자신이 관심 있는 내용이나, 지상에서 있었던 이야기들 같은 거. 별마다 많이 달라.",
0,하말,,별이 된 사람이 자신의 과거를 꺼내긴 쉽지 않을 텐데.,
0,player,,"뭐, 누구도 처음부터 그런 이야기를 꺼내진 않으니까.",
0,하말,,그건 맞지. 아마 네가 의지가 되니까 그런 이야기를 꺼낼 수 있었을 거야.,
0,하말,,너랑 이야기하면 무척 편안해. 조금만 더 있으면 못할 이야기까지 꺼낼 것 같다니까.,
0,player,,꺼내고 싶으면 언제든지 꺼내도 돼.,
0,하말,,재밌는 이야기는 아닐 텐데 괜찮겠어?,
0,*,Select,괜찮아.|편할 때 언제든 이야기해.,1|2
1,하말,,그렇게 말해줘서 고마워.,
1,하말,,다음에 꼭 얘기해줄게.,
2,하말,,배려해줘서 고마워.,
2,하말,,하지만 너무 마음 쓰지 않아도 돼. 알았지?,
