phase,talker,behaviour,dialogue,nextPhases
0,,,(또 다시 어둠 속에서 누군가 모습을 드러냈다.),
0,말머리 성운,,…… 역시 너였군.,
0,말머리 성운,,그 큰 걸로 또 보고 있길래 너일 거라고 어느 정도 예상은 하고 있었다. 아무리 무관심하려고 해도 그 망원경이 너무 내 시선을 끄는구나.,
0,말머리 성운,,그걸로 똑같은 장소를 계속 바라봐서 내가 있는 위치가 드러나면 곤란해지니 말이다.,
0,player,,어디 있는지 알게 되면 안 좋은 건가요? 나와서 지키는 쪽이 더 좋아보이는데……,
0,말머리 성운,,나와서 지키는 것도 좋지만 더 효율적으로 오리온자리를 지키기 위해선 기도비……,
0,말머리 성운,,…… 오리온자리를 지켜야 하는데 내가 어딨는지 알 수 있으면 적이 먼저 나를 공격할 수 있으니 말이다.,
0,말머리 성운,,게다가 나는 침략을 막아내고 오리온자리의 입구를 지켜야하는 문지기.,
0,말머리 성운,,언제든지 그림자가 입구로 몰려올 수 있기 때문에 나는 여기를 항상 지키고 있다.,
0,player,,항상 지키신다는건…… 계속 그 곳에 계시는건가요?,
0,말머리 성운,,가끔 개인적으로 필요한 물품이 떨어졌을 때 사러 가는 순간을 제외하면 계속 있는 편이지.,
0,player,,계속 서있기만 하면 지루하거나 힘들지 않으세요?,
0,말머리 성운,,근무를 서다 보면 힘들다는 생각은 별로 들지 않는다.,
0,말머리 성운,,누군가에게 맡겨놓는 것보단 내가 근무를 서는게 마음이 훨씬 편하다.,
0,말머리 성운,,너처럼 여기를 지나다니는 민간인……,
0,말머리 성운,,"그러니까, 일반적인 사람들을 보면 그렇게 지루하다는 생각도 잘 안 들지.",
0,말머리 성운,,게다가 밤에는 노루나 멧돼지 같은 야생동물들도 많이 보여서 오히려 심심할 틈이 없더구나.,
0,player,,멧돼지요?,
0,말머리 성운,,그래. 멧돼지 말이다. 혹시 멧돼지도 설명을……,
0,player,,아니요. 그게 아니라…… 진짜 멧돼지를 보셨어요?,
0,말머리 성운,,그래. 일반 돼지들보단 확실히 몸집은 크고 털이 좀 더 거칠더구나.,
0,player,,큰 송곳니 같은 것도 있었나요?,
0,말머리 성운,,툭 튀어나온 건 있었지만…… 그렇게 크진 않았다.,
0,player,,…… 진짜로 보신거 맞아요? 저는 실제로 본적은 없지만…… 제가 책에서 보던 모습과는 좀 다른 거 같은데요.<3>,
0,말머리 성운,,진짜다만……,
0,player,,…… 아닌 거 같은데요.,
0,말머리 성운,,끄응…… 소녀여. 이야기가 안 끝난다.,
