phase,talker,behaviour,dialogue,nextPhases
0,목성,,"안녕! 또 만들어왔는데, 한 번 볼래?",
0,player,,겉보기에는 저번보다는 괜찮아 보이네요.,
0,목성,,그래? 다행이다.,
0,목성,,"있잖아, 저번에 레시피를 보여주면 이상한 부분을 고쳐준다고 했었지?",
0,목성,,"그래서 오늘 만든 걸 가져와 봤는데, 봐줄 수 있어?",
0,,,(글씨가 빼곡히 적힌 종이를 건넨다.),
0,player,,…….,
0,player,,잠시만요.,
0,player,,진짜 이렇게 만들어서 동생들한테 준 거예요?,
0,목성,,응. 왜?,
0,player,,동생들 반응은 어땠어요?,
0,목성,,대부분 몇 개 정도 집어서 먹더니 금방 가더라고.,
0,player,,(먹었다는 사실이 놀라운데?),
0,player,,오늘은 그 빵 만들고 바로 온 거예요?,
0,목성,,아니. 주방 청소도 조금. 왜인지 더 더러워져서 토성이 마저 정리했지만.,
0,목성,,어째 나는 제대로 하는 게 없네. 특히 요리는.,
0,*,Select,그렇지 않아요!|뭐든지 다 잘할 수는 없잖아요?,1|2
1,player,,"재료가 문제인 것뿐이지, 기본적인 방법은 나쁘지 않은걸요.",
1,player,,요리할 때마다 재료 중 이상한 것은 없는지 동생들에게 물어보면 되지 않을까요?,
1,목성,,동생들에게 물어본다고?,
1,*,Next,,3
2,player,,"각자 장점이 있는 거고, 당연히 단점도 있는 건데 요리를 못한다고 그렇게 말할 필요는 없어요.",
2,목성,,……네 말도 일리는 있지.,
2,*,Next,,3
3,목성,,하지만 난 맏이인걸. 동생들에게 계속 민폐를 끼치다가는 좋은 형이나 오빠가 될 수 없을 거야.,
3,player,,꼭 요리가 전부는 아니잖아요?,
3,목성,,요리랑 청소만 이러면 다행이게. 평소에도 쉽게 덜렁대서 저번 주에는 설거지하다 컵도 두 개나 깨트렸어. 뒷수습도 근처에 있던 동생들이 했고.,
3,목성,,사고를 칠 때마다 동생들에게 의지가 되는 건 둘째치고 민폐만 끼치는 것 같아.,
3,player,,동생들이 그걸 가지고 뭐라 한 적이 있어요?,
3,목성,,"그렇진 않지만, 아마 좋게 생각하지는 않겠지. 평소에도 제대로 맏이 노릇 못하는데.",
3,목성,,오늘 만들 컵케이크라도 제대로 만들어봐야지. 재료에서 이상한 점 좀 말해줄 수 있어?,
3,player,,"음, 일단 반죽할 때 돌가루 대신 밀가루를 쓰고, 흑설탕이 모자라다고 후추를 넣지만 않으면 될 것 같아요. 그 외에는 잘 모르겠네요.",
3,목성,,후추는 자극적인 맛을 줘보려고 일부러 넣은 거였는데.,
3,목성,,정말 쓰면 안 되는 거야?,
3,player,,동생들이 먹게 하고 싶다면서요?,
3,목성,,……네 말이 맞네.,
3,목성,,알았어. 네 말대로 할게.,
