phase,talker,behaviour,dialogue,nextPhases
0,크라즈,,매일 별만 보고 있는 거 같네? 심심하지 않아?,
0,player,,조금 지루하긴 하지만…… 다른 할 일도 없는 걸요.,
0,크라즈,,"음…… 아, 내가 수수께끼 하나 내줄까?",
0,player,,수수께끼요? 저 수수께끼는 자신 없는데……,
0,크라즈,,맞히면 내가 가지고 있는 보석 중 가장 예쁜 걸로 하나 줄게.,
0,크라즈,,"장식을 해놔도 좋고, 아니면 팔아도 되고.",
0,크라즈,,대신에 틀리면…… 일단! 벌칙이 있다는 것만 알아둬.,
0,player,,네? 그런게 어딨어요! 적어도 벌칙 내용은 알려주셔야 공정한 거 아니에요?,
0,크라즈,,보석을 주는 것보단 현실적인 벌칙이야. 약속할게. 하나만 알려주면 '저 큰 유리를 나한테 줘.' 정도?,
0,player,,엄청 비현실적인데요!,
0,크라즈,,에이~ 나는 너한테 보석을 주겠다고 했다고? 단순히 현금적인 가치만 따져도 내가 주는 쪽의 금액이 훨씬 비현실적일텐데?,
0,player,,"그, 그건 그렇지만……",
0,크라즈,,"그래서, 할 거야? 안 할거야?",
0,*,Select,하아…… 할게요. 할 일도 없고.|아니요. 안 할래요.,1|5
1,크라즈,,그래. 그렇게 나와야지!,
1,player,,상당히 들떠보이시네요.,
1,크라즈,,사실 나도 조금 심심하던 차였거든.,
1,크라즈,,"자, 그럼! 문제 낼게. 문제는 몇 번이고 들려줄 수 있지만 답할 기회는 한 번뿐이야. 정답은 아무에게도 말하면 안돼. 알았지?",
1,크라즈,,나는 지금 이 청금석을 3개 사면 1개를 공짜로 주는 이벤트를 하고 있어. 그렇다면! 청금석 20개를 사면 너는 청금석 몇 개를 얻을 수 있을까?,
1,*,Select,26…… 개?|27개!|28개요.,2|2|2
2,크라즈,,땡! 틀렸어!,
2,player,,네?! 하지만 분명 계산했을 땐 그게 맞았는데……?,
2,크라즈,,"자, 틀렸으니까 벌칙을 받아야지?",
2,player,,"아, 안돼요! 저 유리는 못 드려요!",
2,크라즈,,"응? 나는 저 유리를 받는 거가 벌칙 중 '하나'라고 했지, 다른 벌칙이 없다고는 얘기한 적 없는데?",
2,player,,네? 다른 벌칙이요?,
2,크라즈,,응. 아무래도 너에게 있어서 별을 관찰하는 건 소중한 거 같으니까 말이지.,
2,크라즈,,내가 제시할 벌칙은 크게 2가지야. 하나는 아까 말했던 저 유리를 나한테 주는 것. 그리고 다른 하나는 유리를 사주는 것.,
2,player,,유리를 사준다고요?,
2,크라즈,,"이거 말이야, 이거.",
2,,,(크라즈는 청금석을 가볍게 던졌다 받았다를 반복했다.),
2,player,,하지만 전 돈이 없는 걸요.,
2,크라즈,,"자, 나는 선택지를 줬어. 어떡할래?",
2,*,Select,…… 유리를…… 드릴게요.| …… 청금석…… 얼마에요?,3|4
3,크라즈,,…… 진짜로? 정말이지?,
3,player,,네……,
3,크라즈,,좋아! 유리는 받아갈게!,
3,크라즈,,……라고는 해도 정말 허락할 줄이야. 가져갈 수단을 생각 못했는데 말이지.,
3,크라즈,,가져갈 수단이 생기면 그 때 다시 가져갈게. 물론 가져가느라 생기는 비용 포함해서 말이야.,
4,크라즈,,얼마나 줄 수 있는데?,
4,player,,저…… 그러니까…… 이 정도요?,
4,크라즈,,"응? 뭐야, 동전 2개?",
4,크라즈,,"에잇! 됐어, 됐어. 나중에 돈 생기면 그 때 다시 사줘. 이렇게 팔면 나만 손해니까 말이야.",
5,크라즈,,흐응…… 안 하는 거야?,
5,크라즈,,"꽤나 고심해서 준비한 문제인데…… 어쩔 수 없지, 안 한다고 하면.",
5,크라즈,,별만 보는 것이 심심하다해서 준비한 문제지만…… 내가 문제 푸는 걸 억지로 강요할 수는 없는 노릇이니까 말이야.,
5,*,Select,역시 할게요……|그래도 안 할래요. 내기는 나쁜 거랬어요.,1|6
6,크라즈,,음…… 그래. 어쩔 수 없지.,
