phase,talker,behaviour,dialogue,nextPhases
0,크라즈,,아우우우…… 아파라……,
0,player,,몸 상태가 많이 안 좋아 보이시네요?,
0,크라즈,,"아니야, 견딜 만 해…… 아니, 사실, 응. 엄청 아파.",
0,player,,도대체 어느 쪽이 진짜인 거에요?,
0,크라즈,,으음~ 아픈 쪽? 그래도 견딜 만한 축이긴 한데……,
0,*,Select,됐어요. 더 안 물어볼래요.|사실 안 아프신데 일부러 그러시는 거 아니에요?,1|1
1,크라즈,,야아~ 그렇게 매정하게 굴지 말고~ 나 많이 아프단 말이야~,
1,player,,에휴…… 알았어요. 어쩌다가 그렇게 많이 아파지신 거에요?,
1,크라즈,,계단에서 굴……,
1,player,,굴렀다고 하면 더 안 들어줄 거에요.,
1,크라즈,,"오오…… 너, 생각보다 나한테 관심 많았구나?",
1,player,,사실 엄청 멀쩡하신 거죠?,
1,크라즈,,"아, 알았어! 그렇게 정색하면서 보지 마. 무섭단 말이야.",
1,크라즈,,내가 이래 봬도 마법을 배우고 있거든? 근데 스승님으로 삼고 있는 분이 좀 무서운 분이어서 말이야.,
1,크라즈,,"정말 잘 가르치시고 좋은 분인데…… 평소에 화가 좀 많으셔. 아니, 화를 안 내는 날이 없다고 보는 게 맞겠다.",
1,크라즈,,이 망토 뒤에가 구멍 뚫린 것도 스승님이 한 번 화냈을 때 이 꼴이 된 거야.,
1,크라즈,,그리고 오늘이 그때와 비슷한 꼴을 당한 날인 거지.,
1,player,,어떻게 화를 내시면 망토에 구멍이 나는 거에요?,
1,크라즈,,별 거 없었어. 내가 돈을 벌고 싶어서 거짓말을 좀 하면 스승님이 항상 다 아시고 혼내시는 패턴인 거지.,
1,player,,"아, 왜 스승님이 화내시는지 알 거 같네요.",
1,크라즈,,에이~ 화 풀어~ 그 때 사과까지 했잖어~,
1,크라즈,,어쨌든 오늘도 스승님이 시켜서 심부름을 갔다 오는 날이었어.,
1,크라즈,,목을 축이고 싶으시다면서 저 건너편에 있는 '은하수'를 떠 오라는 거야.,
1,크라즈,,이 '은하수'라는 물이 맛은 진짜 좋긴 한데…… 꽤 오랜 거리를 가서 떠와야 하거든? 하지만 반항하면 어떻게 될지 대충 아니까 군말 없이 갔다 오기로 했지.,
1,크라즈,,근데 떠 가지고 돌아오는 길에 내가 돈 다음으로 좋아하는 '무화과'가 열리는 나무가 있는 거야.,
1,크라즈,,아직 덜 익었길래 익기를 기다렸다가 하나 따서 먹었는데 맛이 괜찮더라고.,
1,크라즈,,그래서 그걸 한 아름 가지고 돌아가려고 생각해보니까 너무 오랜 시간이 걸린 거야.,
1,크라즈,,'무화과를 따 먹으려다 늦었습니다!'라고 하면 미래가 뻔히 보이니까 과장을 '조금' 보태서 얘기 드렸지.,
1,크라즈,,물론 스승님은 거짓말하지 말라며 기껏 떠온 물이 담겨있는 컵을 던지셨고 거기에 맞아서 아픈 거야. 아흑…… 불쌍한 내 인생……,
1,player,,글쎄요…… 확실히 화를 좀 심하게 내신 거 같긴 한데 거짓말을 하는 것도 좋은 생각이라고는 안 드는 데요.,
1,크라즈,,하지만 심부름은 나름 열심히 해온 제자를 분풀이용으로 쓰는 쪽도 좋은 생각은 아니지 않니?,
1,player,,그런 거 같긴 해요. 어떤 식으로 얼마나 화를 내셨는지 안 봐서 잘은 모르겠지만……,
1,크라즈,,지금 내색은 안 하고 있지만 엄청 아프단 말이야?,
1,크라즈,,어쩌면 의사를 만나서 치료를 해야 할 지도 모르고 말이야. 마법을 쓴다는 사람이 힘만 세서는……,
1,크라즈,,그러면 치료비가 필요할 텐데…… 나한테는 돈이 많지 않고……,
1,player,,…… 그렇게 쳐다보셔도 저도 드릴 돈은 많지 않은데요.,
1,크라즈,,아. 들켰니?,
1,player,,방금 엄청 빤히 저를 쳐다보셨거든요?!,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
