phase,talker,behaviour,dialogue,nextPhases
0,player,,저…… 안녕하세요……,
0,마르카브,,씨익! 씨익!,
0,player,,죄…… 죄송해요…… 의심을 하거나 그래서 그렇게 얘기를 드렸던 건 아니었는데……,
0,마르카브,,"너, 나빠! 나빴어! 너, 주인님 아니야! 옛날 주인님은 너보다 착했어!",
0,마르카브,,힘 세고~! 멋지고~! 이…… 이심도 안하고~! 또……. 또……,
0,*,Select,저번에건 죄송해요…… 그러니까 화 푸시고……|……,1|2
1,마르카브,,나 얘기 아직 안 끝났어! 또…… 또오……,
1,*,Next,,2
2,마르카브,,"그, 그리고! 엄청 세서~! 되게 신 같았어~!",
2,player,,신…… 이요?,
2,마르카브,,응! 근데 내가 잘못해서 신은 못 됐어……,
2,player,,마르카브 씨가 잘못해서요?,
2,마르카브,,응…… 으아아아아앙~!,
2,player,,으앗! 갑자기 왜 우세요?!,
2,마르카브,,내가 잘못해서…… 내가 잘못해서……,
2,player,,(큰일이다! 이대로 가면 저번처럼 또 난장판을 만드실 거 같은데…… 빨리 화제를 돌려야 돼!),
2,player,,"저, 저희! 같이 책이나 볼래요?!",
2,마르카브,,훌쩍…… 책……?,
2,player,,네! 책이요! 별자리 책을 하나 갖고 있는데 그걸 보면 옛날 주인님은 생각 안 나실 거…… 가 아니라! 어쨌든 분명 재밌을 거에요!,
2,마르카브,,훌쩍…… 책…… 재미없어.,
2,player,,책을 보신 적 있으세요?,
2,마르카브,,"옛날 주인님이, 어…… 아~주 옛날에 읽었어. 근데 그림도 없고…… 재미없어.",
2,player,,"아, 아니에요! 이 책은 그림책이라 재밌을 거에요!",
2,마르카브,,훌쩍…… 정말……?,
2,,,(잠시 후……),
2,마르카브,,우아아! 엄청 많다!,
2,player,,"그렇네요. 이렇게 별자리가 많은 줄은 저도 처음 알았어요. 어디 보자, 여기는…… '페르세우스자리'라고 되어있네요.",
2,마르카브,,아아앗!,
2,player,,우왓! 깜짝이야……,
2,마르카브,,나 페르세우스 알아!,
2,player,,페르세우스자리요?,
2,마르카브,,아니! 페르세우스 알아! 나를 만든 사람! 나 만든 사람이야!,
2,player,,"자, 잠깐만요! 손 든 건 내리셔도 되니까요! 휴우…… 마르카브 씨를 '만들었다'구요?",
2,마르카브,,응! 이 사람이 나 만들었어! 이 사람이~! 메두사 머리 가지고 가다가~! 바다에 피를 흘려서~! 내가 만들어졌어!,
2,player,,"끄응……. 잠깐만요…… 아, 그러니까 메두사 머리에서 흐른 피를 보고 메두사를 좋아하던 포세이돈이 안타깝게 생각해서 그 피를 가지고 페가수스를 만든 거군요.",
2,마르카브,,응! 맞아!,
2,player,,(책에 나와있기에 망정이었지…… 아니었으면 무슨 말인지 이해가 안됐을 거야……),
2,player,,하지만 여기엔 페가수스라고 나와있는데……,
2,마르카브,,그.러.니.까! 나! 페가수스 맞다고오!!!!,
2,player,,아! 네! 맞네요! 맞아요! 생각해보니까 그러네요! 계속 마르카브 씨라고 불러서 착각했어요!,
2,마르카브,,너! 이심하는 거 아니지?!,
2,player,,네! 아니에요! 약속해요!,
2,player,,(휴…… 큰일날 뻔했다……),
,,,,
,,,,
