phase,talker,behaviour,dialogue,nextPhases
0,player,,안녕하세…… 으아악! 왜 책을 찢으려하시는 거에요!,
0,마르카브,,이 책! 나빠!,
0,player,,"잠깐만요, 잠깐만요! 책 찢지 말아주세요!",
0,마르카브,,으아악! 그 책! 나빠! 혼내줘야 돼! 내놔아아아!,
0,player,,진정하세요! 저랑 달리 책은 사과하거나 미안하다고 얘기할 줄 모른다구요!,
0,마르카브,,씨익……. 씨익……,
0,player,,왜 그렇게 화가 나 계신 거에요? 책은 왜 찢으려 하고 계셨구요.,
0,마르카브,,그 책이~! 내 옛날 주인님이! 나쁘대잖아~!,
0,player,,이 책에요?,
0,마르카브,,응! 씨익…… 씨익……,
0,player,,어디에요?,
0,마르카브,,여기에에에~!,
0,player,,페가수스자리……? 페가수스자리의 페가수스는…… 여기 나오는 '벨레로폰'이 옛날 주인님인건가요?,
0,마르카브,,응! 옛날 주인님은~! 힘 엄청 세서! 키마이라……? 키메라……? 아무튼 엄~청 큰 괴물도 죽였어!,
0,마르카브,,그래서! 왕도 될 뻔하고! 신도 될 뻔했던 주인님인데~!,
0,마르카브,,그런데~! 이 책이! 막 검방지다 그러고~! 막 힘들다 그러고~!,
0,player,,"아, 알겠어요! 잠깐만요!",
0,player,,계속되는 승리로 자만심에 빠진 벨레로폰은 곧 신들의 세계로 가 자신도 신이 되겠다는 오만한 태도를 보였다……,
0,player,,그 모습을 지켜보던 제우스는 벨레로폰을 건방지다고 생각하며 불쾌한 마음에 등에를 보내 페가수스를 물게 했다……,
0,player,,벨레로폰은 땅으로 떨어져 장님에 절름발이가 되어 힘들게 남은 여생을 살게 된다……,
0,마르카브,,그거 다 거짓말이야! 전부 거짓말!,
0,player,,거짓말이라구요?,
0,마르카브,,장님이랑 절…… 음? 아무튼! 힘들게 안 살았어! 그리고! 등…… 에? 아무튼 그거는 거짓말이야! 내가 놀라서 떨어뜨린건데…… 바보 책이야!,
0,player,,놀라셨다구요?,
0,마르카브,,응! 놀랐는데 실수로 떨어뜨린거야!,
0,player,,뭐에 놀라셨는데요?,
0,마르카브,,응……? 그…… 그건 비밀이야! 절~대! 말하면 안되는 비밀!,
0,player,,흐음……,
0,마르카브,,……,
0,player,,…… 왜요?,
0,마르카브,,…… 으아아아아아!,
0,player,,으아악! 뭘 잘못했는지는 모르겠지만 죄송해요! 그러니까 팔 올리지 마세요! 제발!,
0,player,,후우…… 좋아요. 하나만 알면 저 책이 바보 책인 걸 알겠어요.,
0,player,,마르카브 씨가 왜 놀랐는지 얘기해주셔야 저 책이 바보 책인 걸 알 수 있겠는데요?,
0,마르카브,,…… 벌레가…… 물었어……,
0,player,,벌레가 물었다는 건 분명 혼자서 놀랐다고 얘기한 거랑은 거리가 멀어보이는데요. 왜 혼자 놀랐다고 하셨나요?,
0,마르카브,,……,
0,player,,예전 주인님이 잘해주셨나요?,
0,마르카브,,……,
0,player,,고개를 끄덕거리시는거 보니…… 예전 주인님이 잘해주셔서 나쁜 사람처럼 보이는 게 싫으셨군요.,
0,마르카브,,…… 으아아아아앙……,
,,,,
,,,,
,,,,
,,,,
