phase,talker,behaviour,dialogue,nextPhases
0,화성,,안녕?,
0,*,Select,안녕하세요.|가족들이랑은 어떻게 됐어요?,1|2
1,화성,,잘 지냈어? 표정 보니까 잘 지냈나 보네.,
1,*,Next,,3
2,화성,,안 그래도 그것 때문에 할 말이 있었어.,
2,*,Next,,3
3,화성,,얼마 전에 가족들을 모아서 내가 했던 말들에 대해 사과했어.,
3,화성,,특히 자주 싸웠던 애 한 명한테는 더욱……,
3,화성,,그런데 사과하니까 엄청 웃더라.,
3,화성,,그걸 일일이 진지하게 생각하고 있었냐며.,
3,player,,다른 가족들도요?,
3,화성,,그래도 다른 가족들은 그 말을 다 들으시더니 마음고생 많았다며 위로해줬어.,
3,화성,,"그리고 잘못한 걸 깨달아서 다행이라고, 고치는 것도 도와주겠다고 하셨어.",
3,화성,,걔는 끝까지 웃으면서 그렇게 고민 많이 했냐고 놀리더라.,
3,player,,장난기가 많나 보네요.,
3,화성,,이번엔 화 안 냈어.,
3,화성,,"가족 앞에서도, 네 앞에서도 약속했으니까.",
3,화성,,이제 다른 사람에게 무의식적으로 상처를 주긴 싫으니까.,
3,화성,,"맞다. 너한테 주고 싶은 게 있었어. 자, 여기.",
3,player,,목걸이네요?,
3,화성,,너무 화려한 건 부담일 것 같아서 이걸로 골랐어.,
3,화성,,"은색 줄에 달린 건 붉은색 비즈 정도니까, 아마 평소에도 찰 수 있을 거야.",
3,player,,붉은색으로 하신 이유라도 있어요?,
3,화성,,화성의 색이라고 하면 붉은색이잖아?,
3,화성,,내 선물인 거 기억하라고 이걸로 골랐지.,
3,화성,,다른 사람에게 어울리는 장신구는 고르기 힘들더라.,
3,화성,,그래도 나름 잘 어울리는 것 같아서 뿌듯하네.,
3,화성,,마음에 들어?,
3,*,Select,네.|저랑 잘 어울릴지 모르겠네요.,4|5
4,화성,,다행이다.,
4,화성,,자주 차고 다녀. 장신구는 보관하라고 있는 게 아니니까.,
4,*,Next,,6
5,화성,,어울려. 걱정하지 마.,
5,화성,,말했잖아. 당당해지라고.,
5,*,Next,,6
6,화성,,"목걸이 차는 거, 나중에 익숙해지면 말해. 다른 것도 추천해줄 거니까.",
6,player,,고마워요.,
6,화성,,고맙긴 뭘. 주고 싶어서 주는 건데.,
6,화성,,푹 쉬어. 난 가볼게.,
