phase,talker,behaviour,dialogue,nextPhases
0,화성,,있잖아……,
0,화성,,혹시 내 말투가 사납거나 그래?,
0,*,Select,처음에는 조금……|그런 건 못 느꼈어요.,1|2
1,화성,,확실히 그렇지.,
1,화성,,조심스럽게 얘기 안 해도 돼.,
1,화성,,"내 말투를 보면 알겠지만, 딱히 그런 거에 신경 안 써.",
1,*,Next,,3
2,화성,,그럴 리가 없을 텐데.,
2,화성,,주변 사람 중에 나랑 비슷한 말투를 가진 사람이라도 있었어?,
2,화성,,솔직히 말해도 돼. 신경 안 쓰니까.,
2,*,Next,,3
3,player,,신경이 쓰이지 않으실 리가 없잖아요.,
3,화성,,사납게 보인다는 거?,
3,화성,,"뭐, 내 성격이 좋지 못한 건 사실이니까 그런 면에선 걱정이 안 돼.",
3,화성,,"음, 다만.......",
3,화성,,내 가족들이 불편하게 느낄까 봐 걱정이긴 하지.,
3,화성,,네가 하도 어리니까 그나마 점잖게 말하게 되네.,
3,화성,,다른 가족을 대할 땐 훨씬 거칠게 말하게 되더라고.,
3,화성,,그런 걸 의도한 건 아니었는데 말이야.,
3,화성,,계속 그렇게 말하다 보니 날 불편하게 여기진 않을까 걱정돼서.,
3,*,Select,말투를 바꿔볼 생각은 없어요?|불편하게까지 여기진 않을 것 같아요.,4|5
4,화성,,"음, 사실 바꿔보려고 시도했는데,",
4,화성,,뭔가 화날만한 일이 생기면 무의식적으로 튀어나오더라고.,
4,*,Next,,6
5,화성,,글쎄. 그건 모르지.,
5,화성,,너랑 있을 때는 내가 특별히 화낸 적이 없기도 하고.,
5,*,Next,,6
6,화성,,바뀌려고 노력해봐야지.,
6,화성,,가끔 너무 심하게 말해서 내 말에 내가 놀랄 때도 있다니까.,
6,화성,,그러고 보니 너랑 처음 만났을 때도 내가 엄청 퉁명스럽게 말했었지.,
6,화성,,하필 그때 기분 안 좋은 일이 있어서……,
6,player,,기분 안 좋은 일이요?,
6,화성,,그런 게 있었어.,
6,화성,,"음, 난 지금 가야 할 것 같은데.",
6,화성,,나중에 봐. 알았지?,
