phase,talker,behaviour,dialogue,nextPhases
0,수성,,씨잉…… 화성 형이랑 금성 누나 나빠!,
0,player,,기분이 나빠 보이네? 무슨 일 있었어?,
0,수성,,"아니, 나는~! 평소처럼 화성 형이랑 금성 누나한테 놀자고 했는데~ 바쁜 일도 없으면서 둘이 바쁘다는 거야!",
0,수성,,그래서 놀아달라고 계속 얘기했는데 갑자기 둘이 나한테 화내는 거야!,
0,*,Select,갑자기 화를 냈다고? 어떻게 얘기했는데?|둘 다 바쁜데 계속 얘기해서 화난 거 아니야?,1|2
1,수성,,"그냥 놀아달라고 주변에서 계속 얘기하고, 뭘 쓰고 있길래 그거 치워버리고, 쓰고 있던 휴대전화 뺐고…… 그런 거밖에 안 했어!",
1,player,,…… 그 정도면 충분히 화낼만 한 거 같은데……,
1,수성,,"아니, 그래도! 동생이 놀아달라는데 무시하는 건 너무한 거 아니야?",
1,*,Next,,3
2,수성,,아니야. 별로 바빠 보이지도 않았어! 맨날 하던 거 하고 있었는걸?,
2,수성,,그래서 놀아달라고 조~금! 관심을 끌고자! 휴대전화 뺏고 한 거밖에 없어!,
2,player,,…… 휴대전화를 뺏었다고?,
2,수성,,하지만! 그렇게 하지 않으면 봐주지도 않는단 말이야!,
2,*,Next,,3
3,수성,,어쨌든! 그래서 이런 일이 있었다고 태양님한테 일렀어! 태양님은 내 얘기를 잘 들어주시거든.,
3,수성,,그런데 내가 태양님한테 얘기했다는 걸 어떻게 알았는지 화성 형이랑 금성 누나가 나한테 와서 또 막 뭐라 그러는 거야!,
3,player,,뭐라고 했다고? 왜?,
3,수성,,몰라~! 왜 자기들만 잘못한 것처럼 얘기했냐고 하는 거야! 잘못했으니까 잘못했다고 얘기하는 게 맞는 거 아니야?,
3,player,,…… 혹시 수성 네가 한 일은 얘기 안 했니?,
3,수성,,아니! 얘기했어! 놀아달라고 얘기했는데 막 화냈다고.,
3,player,,그거 말고 휴대전화 뺏은 거나 그런 건?,
3,수성,,그건 얘기 안 했는데? 에이~ 놀아달라고 얘기하는 거에 그런 게 다 들어가 있는 거지~,
3,player,,…… 화성이랑 금성이 왜 화냈는지 알겠네.,
