phase,talker,behaviour,dialogue,nextPhases
0,해왕성,,오늘은 좀 오래 있다 가도 돼?,
0,해왕성,,책도 좀 갖고 왔어.,
0,player,,고마워요.,
0,player,,표정이 좋아 보이는데요?,
0,해왕성,,…… 굳이 따지자면 승리했다고 해야 할까.,
0,해왕성,,천왕성이 우울해한 건 좀 신경 쓰이지만.,
0,player,,승리요?,
0,해왕성,,천왕성이 명왕성 보러 간다길래 따라갔었어.,
0,해왕성,,마침 전해 줄 책도 있었고 말이야.,
0,해왕성,,저번에 가끔 보이는 카이퍼 벨트 아이들이 어떤 애들인지 궁금하다고 얘기했거든.,
0,해왕성,,그래서 일부러 '초심자용 천문학 개론서'를 구했지.,
0,해왕성,,카이퍼 벨트만을 다룬 챕터가 따로 있는 책은 구하기 힘들더라고.,
0,해왕성,,그래도 구한 보람은 있더라.,
0,해왕성,,내가 들고 온 책을 보자마자 혹시 그 책이냐는 표정으로 쳐다보더라고.,
0,해왕성,,평소에는 다 큰 어른 같이 침착한 표정만 짓는 애가 기뻐하는 거 보니까 좋더라.,
0,해왕성,,문제는 천왕성이었지.,
0,해왕성,,"명왕성이 좋아할 거라면서 초콜릿이랑 포도 맛만 골라서 사탕을 담아왔던데, 명왕성이 책을 보느라 차마 걔 선물을 못 챙겼거든.",
0,해왕성,,그렇게 좋아하는 명왕성이 앞에 있는데 바로 돌아가더라고. ,
0,해왕성,,"아무리 불편해진 동생이라지만, 그런 걸 보니 마음이 편치 않더라.",
0,해왕성,,그래서 책 내용만 잠깐 설명해주고 금방 내 행성으로 돌아왔어.,
0,해왕성,,"아무리 명왕성 보러 가는 거였지만, 오래 나가 있으니 지치더라. 그래서 쉬다 왔어.",
0,해왕성,,맞다. 저번에 명왕성한테 준 책들은 다 봤다고 돌려주더라.,
0,해왕성,,읽고 싶으면 읽어. 동화책 수준이라 읽을 만해.,
0,player,,요즘 동화책은 천 페이지가 넘어가나요?,
0,해왕성,,명왕성은 편하게 읽었다고 하던데?,
0,player,,……,
0,해왕성,,허. 신경 쓰이네. 어릴 적에 이런 상황이 생기면 늘 내가 달래줘서 그런가……,
0,해왕성,,있잖아.,
0,해왕성,,난 천왕성이 정말 귀찮거든?,
0,해왕성,,난 그게 걔랑 내가 선천적으로 안 맞기 때문이라고 생각했어.,
0,해왕성,,"예전으로 돌아가고 싶어는 했지만, 그럴 수 있을 리 없다고 생각했지.",
0,해왕성,,……,
0,해왕성,,근데 그럴 리 없다고 판단하기에는 내가 너무 돌아가고 싶어 하는 것 같아.,
0,해왕성,,위로하지 못하는 것에 대해 아쉬워하는 걸 보면.,
0,해왕성,,우리가 멀어진 구체적 이유에 대해서 하나씩 떠올려 봤어.,
0,해왕성,,생각해보니 난 천왕성이 돌아다니자는 권유 없이 그냥 놀러 왔다고 말했을 때도 내쫓았을 때가 많았지.,
0,해왕성,,관계를 끊어내고 있는 건 나였구나.,
0,해왕성,,나랑 걔는 사는 방식이 다르다고 생각하면서도 결국 이해한 건 아니었어.,
0,해왕성,,왜냐하면 난 그 애의 행동을 이해하지 못할 행동 정도로 취급했으니까……,
0,해왕성,,그리고 난 한 번도 걔한테 명왕성한테 해준 것처럼 책을 추천해준 적도 없지.,
0,해왕성,,우리는 아무래도 대화가 필요할 것 같아.,
0,*,Select,응원할게요|지금 와서 동생이 대화하려고 할까요?,1|2
1,해왕성,,……,
1,해왕성,,고마워.,
1,*,Next,,3
2,해왕성,,이번엔 내가 걔 행성으로 찾아가려고.,
2,해왕성,,새 책도 들고서. 그 정도는 해야 이야기를 시작할 수 있겠지.,
2,*,Next,,3
3,해왕성,,지금 한창 우울해하고 있을 텐데 괜찮을까. 일단 내 행성부터 들러야겠다.,
3,해왕성,,"책은 천천히 돌려줘. 맞다, 한 권 정도는 가져도 돼. 난 다 읽었거든.",
