phase,talker,behaviour,dialogue,nextPhases
0,폴라리스,,…….,
0,player,,오늘은 표정이 조금 안 좋네. 무슨 일 있었어?,
0,폴라리스,,아마 너를 찾아올 수 있는 건 이번이 마지막일 것 같아서. 아무래도 아쉽네.,
0,player,,"마, 마지막이라고? 어째서?",
0,폴라리스,,나쁜 일은 아니니까 너무 걱정하지 마. 너도 언제까지 여기 갇혀 지낼 수는 없잖아?,
0,player,,"그렇지……. 생각해 보니까, 나 갇혀서 여기에 있었던 거였지.",
0,폴라리스,,네가 이곳을 떠날 시간이 다가오고 있는 게 느껴져. 어쩌면 내가 다음 번에 찾아오는 것보다 빠를지도 몰라.,
0,폴라리스,,그러니까 작별 인사를 해 둬야겠다고 생각했어.,
0,player,,……너는 내가 모르는 사실을 알고 있구나. 내가 떠날 시간이 정해져 있는 거야?,
0,폴라리스,,"일부러 숨긴 건 아니야. 나도 얼마 전에야 알게 됐거든. 그거랑 관련이 있을 수도 있고, 없을 수도 있는 이야긴데……",
0,폴라리스,,"나, 그림자의 정체가 뭔지 알아냈어. 너도 눈치챘어?",
0,*,Select,무서운 괴물?|사실 그림자도 별이었다거나?,1|2
1,폴라리스,,처음에는 그럴지도 모른다고 생각했지만 아니더라구.,
1,player,,그래? 그럼 설마…….,
1,*,Next,,2
2,폴라리스,,"맞아. 그림자는…… 네가 지금까지 이야기했던 친구들과 똑같은, 다른 별들이었어.",
2,player,,정말? 그럴 수가…….,
2,폴라리스,,그림자는 멀리서 얼핏 보면 희끄무레하고 전부 똑같아 보이지.,
2,폴라리스,,"하지만 자세히 들여다보고, 교감하고, 이야기를 나누면 사실은 저마다 다른 별이었던 거야.",
2,폴라리스,,"……그래. 마치 네가 지금까지 하늘을 바라보고, 사라진 앨범을 하나하나 다시 채워간 것처럼.",
2,player,,그림자는…… 바라보고 이야기하면 별이 되는 거야?,
2,폴라리스,,"예전에, 그림자 안쪽을 확인해 보려고 했더니 나를 때리고 사라졌다던 이야기 기억나?",
2,player,,"응, 그랬지. 그래서 그림자는 위험한 건지 엄청 고민하기도 했고.",
2,폴라리스,,이번에 발견된 가을철 하늘의 별들 중에 있었어. 그래서 나도 이야기를 나눠 봤지.,
2,폴라리스,,"그때는 그 별도 내가 그림자로 보였고, 다가오는 게 무서워서 그랬다는 거야.",
2,player,,음…… 그건 이해할 수 있을 것 같아. 확실히 잘 모르는 사람이 너무 가까이 오면 부담스럽긴 하지.,
2,폴라리스,,"생각해보면 당연한 거였네. 모든 별은 한때 지상에서 살았던 적이 있으니까, 사고방식도 크게 다를 이유는 없는데.",
2,폴라리스,,어쩌면 네가 별들과 자연스럽게 이야기할 수 있는 것도 그 때문이 아닐까?,
2,player,,그럴지도 모르겠네.,
2,폴라리스,,…….,
2,player,,…….,
2,폴라리스,,미루고 있었지만 이제 정말 작별 인사를 할 때가 됐어.,
2,player,,"나, 계속 여기 있으면 안 돼? 폴라리스도 좋고 별들이랑 이야기하는 것도 좋단 말이야.",
2,player,,"그리고, 바깥은…….",
2,폴라리스,,"쉿, 그건 안 돼. 이유는 때가 되면 알게 될 거야. 약속할게.",
2,폴라리스,,그 때까지는…… 겨울철 하늘을 보면서 이야기하고 있으면 돼.,
2,player,,"잠깐만! 기, 기다려……!",
