phase,talker,behaviour,dialogue,nextPhases
0,폴라리스,,……어라? 무슨 일이지?,
0,폴라리스,,아…… 설마 아직도 나를 찾는 사람이 있는 걸까?,
0,player,,우왓! 넌 누구야?!,
0,폴라리스,,"나? 내 이름은, 폴라리스.",
0,player,,방금까진 나 혼자서 별을 보고 있었는데…….,
0,폴라리스,,"별을 보고 있었다…… 그래, 네가 나를 불러준 거구나.",
0,player,,내가 널 불렀다고?,
0,폴라리스,,별들은 누군가 진심으로 바라봐줄 때 찾아갈 수 있거든.,
0,player,,"……그거, 혹시 네가 별이라는 뜻?",
0,폴라리스,,응. 하늘에는 나 말고도 수많은 별들이 있어. 예전에는 별을 보는 사람들과 만나 이야기를 하곤 했지.,
0,player,,예전이라니? 지금은 안 그래?,
0,폴라리스,,정체 모를 그림자들이 하늘을 둘러싸서 다들 숨어버렸거든. 그래서 고민하던 차에 너한테 이끌려 오게 됐어.,
0,폴라리스,,너는 어떻게 그림자를 뚫고 하늘을 본 거야? 알려주지 않을래?,
0,player,,"엇, 그, 글쎄? 나도 별 생각 없이 망원경을 봤을 뿐인데…….",
0,폴라리스,,아…… 너도 잘 모르는구나. 아쉽네.,
0,player,,도움이 못 돼서 미안.,
0,폴라리스,,아무래도 지금 우리를 도와줄 수 있는 건 너뿐인 것 같아.,
0,player,,나뿐이라고……?,
0,폴라리스,,나를 볼 수 있다면 내 주변에 있는 별들도 볼 수 있겠지? 찾아서 네 상황에 대해 이야기해주지 않을래?,
0,폴라리스,,"그 중에는 이 현상을 연구하고 싶어하는 별도 있고, 그다지 생각하고 싶어하지 않는 별도 있고…… 반응은 다양할 거야.",
0,폴라리스,,나는 어떻게든 이 그림자에 갇힌 상황을 벗어나고 싶어. 도와줄 거지?,
0,*,Select,물론이지. 나도 마침 누군가와 이야기하고 싶었어.|도와줄 수 있는 게 나밖에 없다면야…….,1|1
1,폴라리스,,"고마워. 아, 이제 여기에 머무를 수 있는 시간이 끝나가는구나.",
1,폴라리스,,난롯가로 가 볼래? 네가 다른 별들과 이야기를 나눌 수 있도록 내 친구가 도와줄 거야.,
1,*,Next,,-1
