phase,talker,behaviour,dialogue,nextPhases
0,player,,아저씨! 안녕하세요.,
0,레굴루스,,"너, 이제, 안 슬퍼보인다.",
0,player,,네. 이젠 그렇게 많이 슬프거나 힘들진 않아요.,
0,player,,전에 아저씨가 얘기해준대로 노래하거나 춤추니까 우울한 게 싹 날아가더라구요.,
0,player,,가만히 누워있는 건…… 아직 효과가 있는지 잘 모르겠지만요……,
0,레굴루스,,"너, 웃는 거, 이쁘다.",
0,player,,"헤헷, 고마워요.",
0,player,,그나저나 아저씨는 슬픈 적이 없었죠?,
0,레굴루스,,"아니다. 나, 많이, 슬펐다.",
0,player,,아저씨가요? 이렇게 기분이 좋아지는 방법을 많이 아시는데요?,
0,레굴루스,,"주변에, 나, 말 이상하다고, 놀리는 사람, 많았다.",
0,레굴루스,,"놀리는 사람이, 많아서, 나, 항상, 슬펐다.",
0,레굴루스,,"나, 좋아하는 거, 전부, 해봤지만, 소용 없었다.",
0,레굴루스,,"나, 우리 족장님, 찾아갔다.",
0,레굴루스,,"우리 족장님, 똑똑하다. 모르는 거, 없다.",
0,레굴루스,,"족장님, 물어봤다.",
0,레굴루스,,"첫째, 마지막으로, 노래한 거, 언제인가?",
0,레굴루스,,"둘째, 마지막으로, 춤춘 거, 언제인가?",
0,레굴루스,,"셋째, 마지막으로, 내 이야기를 했던 거, 언제인가?",
0,레굴루스,,"넷째, 마지막으로, 조용하게 있던 거, 언제인가?",
0,레굴루스,,"나, 똑똑하지 않지만, 그거, 알 수 있었다.",
0,레굴루스,,"나, 그런 거, 한 적, 없다.",
0,레굴루스,,"우리 족장님, 매우 신기한, 분이다.",
0,레굴루스,,"그런 거 한적, 없다고 하니까, 한 번 해보라고, 했다.",
0,레굴루스,,"했더니, 우울한 거, 싹 사라졌다.",
0,레굴루스,,너무 신기했다.,
0,레굴루스,,"그 때부터, 나, 슬플 때마다, 족장님 말씀, 떠올린다.",
0,레굴루스,,"그러면, 슬프지 않다.",
0,레굴루스,,"너, 슬퍼 보였다. 그래서, 슬프지 않게, 얘기했다.",
0,player,,그럼…… 레굴루스 아저씨가 저한테 얘기해주신건 전부 아저씨의 족장…… 님? 그 분이 알려주신 거군요?,
0,레굴루스,,"그렇다. 슬픈 거, 다 사라지게, 한다.",
0,player,,슬픈 거에 있어선 만병통치약 같은거네요!,
0,레굴루스,,만…… 병……?,
0,player,,만병통치약이요. 모든 걸 낫게 해주는 약 같은 거에요.,
0,레굴루스,,"나, 그런, 복잡한 거는, 모른다.",
0,레굴루스,,"하지만, 나한테, 약이었으니, 너한테도, 분명, 약이 될거다.",
