phase,talker,behaviour,dialogue,nextPhases
0,player,,휴...... 오늘따라 할아버지가 더 보고싶다.,
0,player,,항상 별을 보시면서 이야기 해주셔서 좋았는데......,
0,player,,...... 할아버지......,
0,player,,훌쩍...... 훌쩍......,
0,레굴루스,,"너, 슬퍼 보인다.",
0,player,,훌쩍...... 아...... 아저씨......,
0,레굴루스,,"슬픈 거, 얘기해라.",
0,player,,훌쩍...... 할아버지가...... 흐아아앙......,
0,,,(소녀는 레굴루스의 품에 안겨 눈물을 터뜨리고 말았다.),
0,player,,훌쩍...... 훌쩍......,
0,레굴루스,,"너희 할아버지, 얘기 들어보니, 좋은 사람이다.",
0,player,,훌쩍...... 네...... 그런데...... 지금은...... 보기 힘드니까.....,
0,레굴루스,,"...... 너, 잠깐만, 누워봐라.",
0,player,,예......? 어디에......,
0,레굴루스,,"아무데나, 누워봐라.",
0,,,(소녀는 레굴루스가 시키는 대로 방바닥에 누웠다.),
0,레굴루스,,"이제, 눈에 보이는, 천장만, 보는 거다.",
0,레굴루스,,"그리고, 아무 말도, 안 하는 거다.",
0,player,,아무 말도요?,
0,레굴루스,,"그렇다. 아무 말도, 하지 않고, 누워 있는 거다.",
0,레굴루스,,"머리를, 비울 수록, 좋다. 나처럼.",
0,,,(레굴루스도 옆에 같이 누웠다.),
0,레굴루스,,"천장만, 본다.",
0,player,,......,
0,레굴루스,,......,
0,player,,...... 할아버지 생각이 더 나는 거 같아요......,
0,레굴루스,,......,
0,player,,...... 저...... 언제까지 이렇게 누워있어야 하나요?,
0,레굴루스,,......,
0,player,,......,
0,,,(소녀는 결국 얘기하고자 하는 마음을 접고 계속 천장만 바라보았다. 평소 별을 초대해 떠들던 다락방엔 잠시동안 고요함만이 감돌았다.),
0,,,"(십 분 정도 지난 뒤, 레굴루스가 천천히 몸을 일으켰다.)",
0,레굴루스,,"너, 이제, 슬프지 않다.",
0,player,,......,
0,레굴루스,,"아직도, 슬프면, 좀 더, 누워도, 된다.",
0,player,,"아니요, 슬프지 않아요.",
0,player,,다만...... 아직도 할아버지를 보고 싶어서요......,
0,player,,...... 죄송한데 좀만 옆에 있어 주실 수 있나요?,
0,레굴루스,,"나, 너의, 할아버지, 아니다.",
0,player,,괜찮아요...... 전에처럼 얘기만 조금 더 들어주실래요?,
0,레굴루스,,상관 없다.,
0,player,,고마워요......,
