phase,talker,behaviour,dialogue,nextPhases
0,레샤,,넌 어린아이인데도 늦은 밤까지 깨어있구나.,
0,레샤,,"하긴, 별들과 대화하려면 그래야겠지.",
0,player,,드디어 예전 일을 얘기해주시는 건가요?,
0,레샤,,이 정도로 알려주고 마저 얘기하지 않는 것도 예의가 아니지.,
0,player,,내키지 않으신다면 괜찮아요.,
0,레샤,,난 괜찮다는 말보다는 듣고 싶다는 말을 더 바랐는데.,
0,레샤,,듣고 싶다는 말로 받아들여도 될까?,
0,*,Select,(고개를 끄덕인다.),1
1,레샤,,"저번에도 얘기해줬듯이, 나는 중매 말고도 실종된 사람을 찾는 일을 했어.",
1,레샤,,"난 사람을 찾는 마법을 부린다는 헛소문이 날 정도로 유명했고, 그렇기에 꽤 큰 규모의 일을 맡을 때도 있었지.",
1,레샤,,난 그때까지만 해도 내가 사람들을 위해 좋은 일을 해준다고 생각했지.,
1,레샤,,모든 일의 시작은 그녀의 방문이었어.,
1,레샤,,신전에서 나고 자란 나도 한 번쯤은 들어봤을 법한 상단이었지.,
1,레샤,,"그런 대형 상단을 이끄는 사람이 중년의 여성이었다니, 누가 상상이나 했겠니?",
1,레샤,,두꺼운 가면을 써도 기가 강한 게 느껴지는 여자였어. 나이가 꽤 있어 보이는 목소리였는데도 새치 하나 없는 완전히 새까만 흑발이었지.,
1,레샤,,"그 지역에서 흑발은 흔하지 않았는데, 머리카락을 가리지 않은 거 보면 그 도시에 사는 건 아니었을 거야.",
1,레샤,,그녀는 자신의 얼굴은 보여주지 않은 채 자신의 일란성 쌍둥이를 찾아달라고 부탁했어.,
1,레샤,,"웃기지 않니? 어차피 얼굴을 묘사하다 보면 자신의 특징도 드러날 텐데, 쌍둥이를 찾아야 하는 사람한테 굳이 얼굴을 가릴 필요가 있었을까.",
1,레샤,,아마 그 사람도 내가 이런 의문을 품은 걸 알아챘겠지.,
1,레샤,,그래서 그녀는 자신과 같은 흑발을 가진 동시에 이런 이름을 가진 사람은 별로 없을 거라며 자신의 쌍둥이 언니 이름을 말해줬단다.,
1,레샤,,"그리고, 나는 그 이름을 듣는 순간 완전히 굳어버렸어.",
1,레샤,,…….,
1,레샤,,그건 나를 키워주시던 사제님의 본명이었거든.,
1,레샤,,"사제님은 신께 귀의한 뒤에는 세례명으로 불렸지만, 딸이라면 엄마를 부를 호칭은 있어야 하지 않겠냐며 나한테만 본명을 알려주셨어.",
1,레샤,,난 사제님의 친가족을 찾았다는 생각에 솔직히 살짝 들떴단다.,
1,레샤,,하지만 동시에 왜 이제야 사제님을 찾는지에 대한 의문도 들었지.,
1,레샤,,난 꼭 찾아드리겠다는 말을 남기고 일단 그 자리를 피했어.,
1,레샤,,그녀에 대해 더 알아보고 사제님께 말씀을 드려야겠다고 생각한 나는 그날부터 그 상단에 대한 소문을 모으기 시작했어.,
1,레샤,,그리고 그들이 사제님한테 원하는 게 무엇인지 알아냈어.,
1,레샤,,그들이 원하던 건 상단의 이익을 위해 죄를 지은 그들의 대장 대신 죽어줄 사람이었지.,
1,레샤,,"아무리 얼굴을 숨기고 다녔다 해도, 쌍둥이 정도로 닮은 사람이 아니라면 그녀의 얼굴을 아는 소수에 의해 일을 망쳤을 테니까.",
1,레샤,,"처음에는 신전이 도시에서 어느 정도 떨어져 있었기에 안심했지만, 상단의 이동 반경이 매우 넓다는 걸 생각해낸 뒤에는 오히려 사제님이 도시의 보호 없이 상단 사람들에게 잡혀가기 좋은 상황이라는 걸 깨달았어.",
1,레샤,,난 성인이 된 뒤 다시는 신전에 찾아가지 않겠다고 다짐했었단다.,
1,레샤,,내가 찾아가면 사제님의 일에 방해가 되니까.,
1,레샤,,"하지만 난 그날 처음으로 사제님을 다시 찾아갔고, 찾아갔을 때의 사제님은 그때와 똑같이 나에게 웃어주시며 하룻밤 묵고 가라 하셨지.",
1,레샤,,"난 그냥 내가 번 돈의 대부분을 드리며 빨리 떠나라고, 그리고 새로운 신전을 그곳에서 세우라고 당부할 수밖에 없었어.",
1,레샤,,내 다급함을 눈치챘는지 사제님은 내게 아무것도 묻지 않으시고 떠나셨지.,
1,레샤,,"나중에 알았는데, 나에겐 미행이 붙어있었어. 그들은 사제님을 신전에서 보고 내가 쌍둥이를 그곳에서 찾았고, 곧 보고가 올 것으로 생각했겠지.",
1,레샤,,하지만 보고가 오지 않자 내가 배신했다는 것을 알고 내게 말하지 않은 채 그 신전으로 쳐들어갔어.,
1,레샤,,있을 리가 없지. 이미 멀리 떠나셨는데.,
1,레샤,,그 뒤로 날 기다린 건 사제님이 어디 있는지를 알아내기 위해 계속되는 고문이었어.,
1,레샤,,나는 늙은이는 아니었지만 그런 고문을 버틸 만큼 혈기 넘치는 나이도 아니었어.,
1,레샤,,정말 사제님이 필요하긴 했나 봐. 끝까지 날 죽이려고는 안 하더라고.,
1,레샤,,"난 사제님을 배신할 생각이 없었지만, 계속되는 고문을 겪을 나를 완전히 믿을 수는 없었어.",
1,레샤,,그래서 스스로 죽으려고 했었지.,
1,레샤,,"그런 결심을 하고 눈을 감았을 뿐인데, 정신 차리고 보니 내가 밤하늘 위에 있더구나.",
1,player,,……. ,
1,레샤,,"울지 말렴. 난 지금 이렇게 너랑 대화하고 있지 않니. 사람으로 살아있진 않지만, 이렇게 과거를 기억하고 누군가를 소중히 여길 수 있어.",
1,레샤,,다음에 올 땐 날 웃으면서 반겨주렴.,
