phase,talker,behaviour,dialogue,nextPhases
0,고리 성운,,......,
0,player,,......,
0,고리 성운,,............,
0,player,,............,
0,고리 성운,,하아…너무 그렇게 보지 마. 세상 모든 사람들이 교과서에 나온 것 처럼 규칙적인 삶을 사는 건 아니라고.,
0,고리 성운,,그리고 그렇게만 살아야 하는 것도 아니고.,
0,고리 성운,,제발. 그 당장 죽을 사람 보는거 같은 걱정 가득한 눈빛 좀 어떻게 해 줄 수 없어?,
0,고리 성운,,"나 그래도, 이번엔 나름 네가 기뻐할 만한 소식을 가져왔단 말야.",
0,player,,"선물이 아니라, 소식? 내가 기뻐할?",
0,고리 성운,,그래. 하아…이제 좀 표정이 풀어졌네.,
0,고리 성운,,그리고 선물은 무슨 선물. 그때 분위기 갑자기 어색해지는 바람에 결국 무슨 모양을 가지고 싶은지 답을 못 들었다고. ,
0,고리 성운,,"내가 천재 소리를 들은게 몇 번인지 기억도 안 나긴 하지만, 남의 마음을 읽는 재주는 없어서.",
0,고리 성운,,뭐…그날 분위기가 그렇게 된 건 전적으로 내가 쓸데없는 소리를 해서긴 한데. 그래. 미안.,
0,고리 성운,,"이게 아니지, 아무튼! 난 말이야. 잘 지내고 있고.",
0,고리 성운,,…다 네 덕분이야.,
0,player,,에…?,
0,고리 성운,,지난번에 왔다 간 이후로 좀 많이 생각해봤어.,
0,*,select,밤하늘에 대해서...?|또 안 자고?,1|2
1,고리 성운,,"아냐, 아냐. 오히려 정 반대.",
1,*,next,,3
2,고리 성운,,"아...그건 맞아서, 할 말은 없네. 그렇지만 밤하늘 건은 아냐.",
2,*,next,,3
3,player,,그러면 뭐였어?,
3,고리 성운,,...너에 대해서.,
3,player,,나?,
3,고리 성운,,"응. 나 말야, 저번에 슬쩍 말하긴 했지만, 너랑 비슷한 나이는 아냐. ",
3,고리 성운,,여기는 이 지구라는 게 태양을 한 번 돌면 나이를 한 살 더 먹는다고 하더라? 그런데 내가 있는 곳은 딱히 그렇지 않거든.,
3,고리 성운,,"그래서 너희 식으로 굳이 표현할 나이가…없다고 해야되나, 세기가 애매하다고 해야되나.",
3,고리 성운,,하지만 엄청나게 오랫동안 혼자 지내왔던건 맞아. 그리고 그게 네가 태어나서 지금까지 지낸 시간보다는 많겠지.,
3,고리 성운,,"그런데 생각해보니까, 너는 지금까지 본 그 누구와도 다르게 느껴졌어.",
3,고리 성운,,"고객, 의뢰인, 한 번 보고 말 사람, 스승, 제자… 명확한 목적에 의해 맺어지는 관계.",
3,고리 성운,,게다가 대부분의 사람들은 나를 자기네들과 동류라고 취급해주는 것 같지 않았어. ,
3,고리 성운,,대충 눈치는 챘지. 내가 너무 대단해보여서 혹은 나를 질투해서. 그렇다고 내가 아예 다른 생물체고 그런 것도 아닌데 말야.,
3,고리 성운,,"…나 말야, 누군가를 진심으로 보고싶다고 생각한 적은 네가 처음이야.",
3,고리 성운,,"당장 내일 굶어죽는 상황에서 대금이 밀렸을 때…도 그 사람을 당장 보고싶었긴 한데, 너랑은 좀 달라. ",
3,고리 성운,,그때는 그 사람이 줄 돈을 기다렸다면…이번엔 너라는 사람 그 자체가 보고싶었어.,
3,player,,잘 모르겠어. 내가 피네한테 그렇게 대단한 걸 해 준 것도 아닌데…,
3,고리 성운,,그러게. 어떤 점이 대단한 걸까? 이야기를 들어준 거?,
3,고리 성운,,"단순히 들어준게 아니라, 내가 너에게 내 이야기를 해도 되겠다고 생각하게 만들었지. 아무런 부탁도, 강요도 없이.",
3,고리 성운,,어쩌면 너는…내가 가진 수많은 재능보다 더 가치있는 재능을 가진게 아닐까? 내가 이렇게 오랜 시간동안 해결하지 못한 문제를 네가 풀어줬으니까 말야.,
3,player,,"음…좀 복잡한 이야기라 다는 모르겠지만, 피네가 나 덕분에 기운을 차린거면 다행이야!",
3,고리 성운,,"하하…그래, 나도 놀랐어. 너랑 이야기하고 돌아왔을 뿐인데 뭐라 표현할 수 없는…후련한? 편안한 감정이라고 해야될까, 그런 느낌이 들었거든.",
3,고리 성운,,너랑 또 만나는 날이 기다려져서 지긋지긋한 무력감도 덜해졌어.,
3,고리 성운,,"내 이야기를 들어주고, 내게 이야기를 해줄 사람이 있다고 생각하니까 말야.",
3,player,,"…아! 그런데 피네, 그러면…",
3,고리 성운,,"응? 왜? 뭐야, 왜 다시 안절부절하는 표정이 된 거야?",
3,player,,피네는 나를 만나러 올 수 있으니까 기운이 난다고 했잖아.,
3,player,,그런데 밤하늘이 다시 예전처럼 돌아가서 나를 못 만나러오면… 피네는 또 예전처럼 기운이 없어지는거야?,
3,고리 성운,,글쎄...?,
3,고리 성운,,"(피네의 눈이 아주 잠깐, 먼 하늘을 보는 듯 했다.)",
3,고리 성운,,"아하하. 지금까지 내가 살아왔듯, '어떻게든' 되지 않을까.",
3,player,,......,
3,고리 성운,,아무튼 넌 내게 있어서 정말로 특별한 사람이고.,
3,고리 성운,,"그건 앞으로 널 만나지 못하더라도...오랫동안 못 보더라도 잊지 않을게. 난 기억력도 꽤 좋은 편이라, 믿어도 좋아.",
3,고리 성운,,"...아차, 그래서 말이지, 저번에 물어봤던거 대답, 들을 수 있을까? 아직 주문은 유효하거든.",
