phase,talker,behaviour,dialogue,nextPhases
0,로제,,…… 난 가끔 이 이름이 너무 미워질 때가 있어.,
0,player,,별명 때문인가요?,
0,로제,,"별명 자체의 문제라기보단, 장미라는 화려한 단어가 나의 겉모습만을 주목하게 만드는 것 같아서.",
0,player,,카르멘을 좋아한 이유가 뭔지 알 것 같네요.,
0,로제,,역시 넌 나이가 어린 것치고는 눈이 좋은 편이구나.,
0,player,,눈이요?,
0,로제,,시력의 의미가 아니라.. 뭔갈 눈치채고 이해하는 게 빠르단 뜻이야.,
0,로제,,내가 카르멘을 좋아한 이유는 겉모습의 화려함과는 거리가 멀어.,
0,로제,,"어릴 적, 아주머니의 연기에서 나는 주변의 환경에서 탈출하고 싶어 하는 카르멘을 보았어.",
0,로제,,"빵집 아주머니는 누구에게나 친절했지만, 자신의 가족에게는 늘 멸시를 받고 살았어.",
0,로제,,술에 미친 아저씨와 아주머니를 돈을 버는 기계로만 보는 아주머니의 아들들.,
0,로제,,아주머니의 유일한 취미였던 연기에는 그녀가 얼마나 일상에서 벗어나고 싶어 했는지가 드러났어.,
0,로제,,그걸 본 순간부터 무의식적으로 카르멘이 된다면 내가 원하는 자유를 찾을 수 있을 것이란 생각이 들었어.,
0,로제,,내가 탈출하고 싶었던 것은 겉모습으로 별명을 붙이고 그것이 나의 유일한 모습인 듯 판단하는 사람들의 잣대였어.,
0,로제,,…… 하지만 내가 원하는 모습의 카르멘을 연기했음에도 나에게 돌아오는 평가는 그냥 ‘이름처럼 화려한 장미’라니……,
0,로제,,큰 극장에서 보았던 예쁘장한 여성의 무대가 갑자기 떠오르네.,
0,로제,,"그들이 원하는 카르멘은 자유를 부르짖으며 노래하는 카르멘도, 남자들을 농락하는 모습의 카르멘도 아니었겠지……",
0,로제,,그냥 적당히 꾸며져 그들의 눈을 호강시킬 카르멘이 필요했던 거야.,
0,로제,,귀를 틀어막고 눈으로만 무대를 감상하는 사람들……,
0,로제,,너와의 대화는 그런 시선들과는 정말 비교가 안 될 정도로 날 행복하게 했어.넌 나에게 늘 귀를 열어주고 있어.,
0,로제,,그래서 내가 어떤 모습이 되고 싶었는지 쉽게 눈치를 챘지.,
0,로제,,난 아직도 내 눈매가 싫어. 부스스한 머리카락도 싫고……,
0,로제,,"하지만 내가 되고 싶은 건 선한 눈매나 찰랑거리는 머리카락을 가진 예쁘장한 여인이 아니니까, 별로 상관없어.",
0,로제,,…… 고마워.,
