phase,talker,behaviour,dialogue,nextPhases
0,장미 성운,,난 가끔 로제라는 내 이름이 너무 미워질 때가 있어.,
0,player,,별명 때문인가요?,
0,장미 성운,,"뭐, 별명이 아예 연관이 없는 건 아니지. 내 별명은 내 겉모습에서 따온 게 대부분이니까.",
0,장미 성운,,"…장미라는 화려한 뜻이 나의 겉모습만을 주목하게 만드는 것 같아서, 가끔은 다른 이름이면 어땠을까 싶은 것도 있어.",
0,*,Select,다른 이름이었어도 비슷했을 것 같지만요.|애초에 외모로 평가받는 걸 원하지 않았군요.,1|1
1,장미 성운,,역시 넌 나이가 어린 것치고는 눈이 좋은 편이구나.,
1,player,,눈이요?,
1,장미 성운,,"시력을 말하는 게 아니라, 뭔갈 눈치채고 이해하는 게 빠르단 뜻이야.",
1,장미 성운,,내가 카르멘을 좋아한 이유는 겉모습의 화려함과는 거리가 멀어.,
1,장미 성운,,"어릴 적, 아주머니의 연기에서 나는 자신을 얽매는 모든 것에서 탈출하고 싶어 하는 카르멘을 보았어.",
1,장미 성운,,"빵집 아주머니는 누구에게나 친절했지만, 자신의 가족에게는 멸시를 받고 살았어.",
1,장미 성운,,술에 미친 아저씨와 아주머니를 돈을 버는 기계로만 보는 아주머니의 아들들.,
1,장미 성운,,아주머니의 유일한 취미였던 연기에는 그녀가 얼마나 일상에서 벗어나고 싶어 했는지가 드러났어.,
1,장미 성운,,그걸 본 순간부터 무의식적으로 카르멘이 된다면 내가 원하는 자유를 찾을 수 있을 것이란 생각이 들었어.,
1,장미 성운,,내가 탈출하고 싶었던 것은 겉모습으로 별명을 붙이고 그것이 나의 유일한 모습인 듯 판단하는 사람들의 잣대였어.,
1,장미 성운,,하지만 내가 원하는 모습의 카르멘을 연기했음에도 나에게 돌아오는 평가는 그냥 ‘이름처럼 화려한 장미’라니…….,
1,장미 성운,,큰 극장에서 보았던 예쁘장한 여성의 무대가 갑자기 떠오르네.,
1,장미 성운,,"그들이 원하는 카르멘은 자기 멋대로 행동하는 카르멘도, 남자들을 농락하는 모습의 카르멘도 아니었겠지.",
1,장미 성운,,그냥 적당히 꾸며져 그들의 눈을 호강시킬 카르멘이 필요했던 거야.,
1,장미 성운,,귀를 틀어막고 눈으로만 무대를 감상하는 사람들.,
1,장미 성운,,너와의 대화는 그런 시선들과는 정말 비교가 안 될 정도로 날 행복하게 했어.,
1,장미 성운,,넌 나에게 늘 귀를 열어주고 있어.,
1,장미 성운,,그래서 내가 어떤 모습이 되고 싶었는지 쉽게 눈치를 챘지.,
1,장미 성운,,솔직히 난 아직도 내 눈매가 싫어. 부스스한 머리카락도 싫고.,
1,장미 성운,,"하지만 내가 되고 싶은 건 선한 눈매나 찰랑거리는 머리카락을 가진 예쁘장한 여인이 아니니까, 별로 상관없어.",
1,장미 성운,,……고마워.,
