phase,talker,behaviour,dialogue,nextPhases
0,player,,표정이 별로 안 좋네?,
0,사달멜리크,,이렇게 다른 사람하고 대화하는 것 자체가 낯설어서.,
0,사달멜리크,,"싫다는 건 아니니까, 오해하지는 마.",
0,player,,좋지도 않다는 소리야?,
0,사달멜리크,,오해하지 말라니까. 딱히 그런 뜻은 없었어.,
0,사달멜리크,,내가 말하는 데 있어서 좀 불편해 보이는 건 말 그대로 낯설어서야.,
0,사달멜리크,,"다른 별과는 조금 이야기하긴 하는데, 별이 아닌 진짜 사람과 이야기하는 건 더 불편하게 느껴지네.",
0,사달멜리크,,다른 사람과 대화한 기억에만 의존해서 대화하는 건 어렵네.,
0,사달멜리크,,그때를 회상하는 거랑 다시 그런 순간을 맞는 것은 다르니 그런가.,
0,player,,땅 위에 있을 때가 그리워?,
0,사달멜리크,,"친한 사람은 거의 없었어. 어렸을 때부터 작업장에 팔려가서 일했고, 주변 사람들은 나를 별로 좋아하지 않았으니까.",
0,player,,미안해. 내가 괜한 걸 물었네.,
0,사달멜리크,,미안해할 필요 없어. 네 잘못 아니니까.,
0,,,(옅게 미소를 짓는다.),
0,사달멜리크,,"음, 다음에 기회가 되면 또 대화하는 것도 나쁘지 않을 것 같네.",
0,사달멜리크,,다음에는 좀 더 잘 대화할 수 있을 것 같아.,
