phase,talker,behaviour,dialogue,nextPhases
0,player,,아직도 둘은 싸우는 거예요?,
0,토성,,내가 보기엔 화해한 것 같아.,
0,토성,,그래도 목성이 어떤 기분일지는 잘 모르겠어.,
0,토성,,상처받지 않았을까 싶어서.,
0,*,Select,목성도 나이가 어린 편인가요?|목성이 상처받았다고 말하던가요?,1|2
1,토성,,아니. 사실 나보다도 많지.,
1,토성,,그건 왜?,
1,*,Next,,3
2,토성,,아니. 하지만 내색 안하는 거일 수도 있지.,
2,토성,,애가 너무 착하니까.,
2,*,Next,,3
3,player,,목성을 너무 걱정하실 필요는 없을 것 같아요.,
3,player,,"조금 덧붙이자면, 동생들의 싸움에 너무 신경 쓰실 필요도 없어요.",
3,토성,,어쩔 수 없어. 이건 개인의 차이인걸.,
3,player,,그렇다기엔 토성이 너무 힘들어하잖아요.,
3,player,,이건 신경을 써주는 게 아니에요.,
3,player,,주변에 휘둘리는 것뿐이지.,
3,토성,,그냥 주변이 아니야. 내 사랑하는 가족들인걸.,
3,토성,,가족 간의 사이가 나빠진다고 생각하면 상상만 해도 아득한걸.,
3,player,,하나 물어봐도 돼요?,
3,토성,,뭔데?,
3,*,Select,정말 싸움 하나로 가족들이 갈라진다고 생각하는 건가요?|토성이 걱정하는 일은 토성이 바꿀 수 있는 일인가요?,4|5
4,토성,,그렇지 않아. 그렇게 오랜 시간 동안 같이 있었는걸.,
4,토성,,그냥 내가 겁이 많아서 그래.,
4,*,Next,,6
5,토성,,그건……,
5,토성,,"아니. 둘의 싸움도, 목성의 마음도 어느 하나 내가 바꿔줄 수 있는 게 없지.",
5,*,Next,,6
6,player,,"걱정할 이유도, 필요도 없어요.",
6,*,Select,토성이 바꿀 수 없는 일은 걱정하지 않아도 돼요.|가족을 좀 더 믿어보세요.,7|8
7,토성,,……,
7,토성,,그렇네. 바꿀 수 없구나.,
7,*,Next,,9
8,토성,,……,
8,토성,,맞아. 내가 너무 가족을 어린아이처럼 여겼구나.,
8,토성,,너무 어른처럼 군 것도 있고.,
8,*,Next,,9
9,토성,,내 성격이라고 넘어갈 게 아니었어.,
9,토성,,사랑이라고 여긴 게 어느새 나를 괴롭히고 있었구나.,
9,토성,,사실은 그냥 믿지 못한 거였는데.,
9,토성,,"당장은 바뀌지 못할 것 같지만, 바뀌려고 노력해볼게.",
9,토성,,너무 오래 붙잡고 있었구나. 너도 계속 이야기만 하다간 금방 지칠 텐데.,
9,토성,,별로 유쾌한 이야기도 아니었고 말야……,
9,토성,,이야기해줘서 고맙다.,
9,토성,,너에게 고마워서라도 즐거운 이야기를 생각해두어야겠어.,
9,토성,,"아, 내가 하늘 위에서 전해 들은 이야기는 이미 다른 별들이 많이 얘기했겠구나.",
9,토성,,그럼 네 얘기를 들어보고 싶은데 괜찮을까?,
9,토성,,다음에는 차라도 가지고 와야겠다.,
9,토성,,이만 쉬렴. 난 가볼게.,
