phase,talker,behaviour,dialogue,nextPhases
0,토성,,뭐 하고 있었어?,
0,player,,"아, 그냥 별을 보고 있었어요.",
0,토성,,열심히 하네. 별 보는 게 네 일이야?,
0,player,,아뇨. 그냥 보고 싶어서 보는 거예요.,
0,토성,,"음, 하늘을 보는 게 재밌나 보네.",
0,토성,,"난 어딜 보든 저 하늘처럼 보여서 도저히 재미를 느낄 수 없단 말이지. 뭐, 평소에는 그런 생각을 할 틈도 없지만. 특히 오늘 같은 날은 말이야.",
0,player,,무슨 일 있으셨어요?,
0,토성,,누가 친 사고 수습 좀 하느라. 목성이 다 좋은데 요리를 좋아하는 게 문제란 말이지.,
0,*,Select,그게 단점이 되나요?| ……이해가 되네요.,1|2
1,토성,,누군가의 즐거운 취미가 남에게는 독이 되는 일도 있단다.,
1,토성,,대표적인 예시가 목성이지.,
1,*,Next,,3
2,토성,,"아, 목성을 만나봤니?",
2,토성,,그렇다면 이해가 빠르겠구나.,
2,*,Next,,3
3,토성,,"뭘 넣었는지 모르겠지만, 주방이 밀가루, 아니 정확히는 밀가루처럼 보이는 돌가루 천지더라고.",
3,토성,,"반죽이 몇 번 터졌다는데, 치우면서 더 어질러졌더라..",
3,토성,,결국 그걸 치우는 건 내 몫이지.,
3,player,,힘드셨겠어요.,
3,토성,,그렇게까지는. 다만 내가 없을 때 또 그런 일이 일어나면 누가 수습할지 걱정이야.,
3,player,,다른 행성들이 도와주지 않을까요?,
3,토성,,다른 애들이 청소에 그렇게 능숙하지 못하니까.,
3,토성,,게다가 목성은 그런 사고를 자주 치는데 말이지.,
3,토성,,동생들이 사고를 또 내지 말라는 법도 없고. 그런 생각이 들 때마다 늘 걱정이라니까.,
3,player,,동생들이 어려서 그렇게 신경 쓰이는 건가요?,
3,토성,,"아무래도 그렇지. 겉으로는 다 큰 것처럼 보이는 애들도 있지만, 역시 동생이니까.",
3,토성,,난 이만 가봐야겠다. 나 없는 사이 무슨 일이 있을까 싶어서 걱정이 되네.,
3,토성,,다음에 보자.,
