phase,talker,behaviour,dialogue,nextPhases
0,player,,주인공: 안녕하세요.,
0,스피카,,"스피카: 안녕, 오랜만이야.",
0,스피카,,스피카: 저번에 내가 곡을 쓰고 있다고 했던 거 기억나니?,
0,*,Select,곡...... 이요?|네. 그것때문에 못 주무셨었잖아요.,1|2
1,스피카,,스피카: 그...... 너랑 만난 걸 기념하기 위해 쓰고 있다고 했던 곡말이야.,
1,player,,주인공: 아! 기억났어요.,
1,*,Next,,2
2,스피카,,스피카: 응. 그래. 그 곡말이야.,
2,스피카,,스피카: 네 덕분에 드디어 완성했어.,
2,player,,주인공: 저...... 덕분에요?,
2,스피카,,스피카: 응. 너에게 얘기를 하기 전까지는 뭔가 막힌 것처럼 막막했었는데 말이지......,
2,스피카,,"스피카: 그런데 계속 만나면서 이런저런 이야기를 털어놓고, 심지어 내 악몽이랑 내가 가장 안좋게 생각했던 순간들도 공유를 했잖니?",
2,스피카,,스피카: 그러면서 기억들을 하나하나 다시 더듬고 또 새로 이야기한 내용들도 정리를 하다보니......,
2,스피카,,스피카: 노래가 잘 써졌어. 가사도 그렇고 악보도 잘 써지지 뭐야.,
2,스피카,,스피카: 물론 꼬마아가씨가 걱정해주다보니 잘 자서 그런 것도 있고 말이야.,
2,,,(스피카의 손길이 소녀의 머리를 어루만졌다.),
2,스피카,,스피카: 네게 부탁을 하나만 하고 싶은데......,
2,player,,주인공: ??,
2,스피카,,스피카: 너와의 짧지만 많은 추억이 담긴 이 곡을 나중에 내 데뷔곡으로 쓰고 싶은데...... 괜찮겠니?,
2,player,,주인공: 좋아요! 저는 오히려 영광인걸요.,
2,스피카,,스피카: 후훗. 정말 고마워.,
2,스피카,,스피카: 내 입으로 말하려니 조금 부끄럽지만...... 분명 좋은 곡이 될거야.,
2,스피카,,"스피카: 곡 소재도 주고, 좋은 기운도 주고...... 네게는 뭔가 잔뜩 얻어가기만 하는 거 같네.",
2,스피카,,스피카: 그래서 선물이라고 하기는 좀 뭐하지만 선물을 하나 줄까 하는데......,
2,스피카,,스피카: 이 곡을 가장 처음 듣는 관객으로 우리 꼬마아가씨를 초청하고 싶은데...... 들어주겠니?,
2,player,,주인공: 네! 그럼요!,
2,스피카,,스피카: 그래. 그럼 조금 준비할 시간만 주면 바로 들려줄게.,
