phase,talker,behaviour,dialogue,nextPhases
0,수알로킨,,꼬마! 뭔가 다시 보니 좋네~,
0,수알로킨,,전에 계속 내가 이상한 이야기만 한 거 같아서 다신 못 볼 줄 알았는데 말이지.,
0,수알로킨,,"아, 그건 그렇고, 꼬마! 좋은 소식이 있어!",
0,player,,좋은 소식이요?,
0,수알로킨,,"응! 저번의 그 천문학자 친구 이야기, 기억나?",
0,player,,네. 혹시 무슨 연락이라도 왔나요?,
0,수알로킨,,"아니, 그…… 연락이 왔다는 건 아니지만.",
0,수알로킨,,"곰곰히 생각해보니까, 걔가 너랑 비슷한 걸 가지고 있었더라고! 이 큰 거 말이야.",
0,player,,망원경이요?,
0,수알로킨,,그래! 이름은 잘 모르지만. 아마 이게 별과 연락하는 수단이겠지?,
0,,,(잠시 안개같은 연기가 뿌옇게 피어오르더니 수알로킨의 옆에 망원경이 생겨났다.),
0,수알로킨,,이렇게 하면…… 더 먼 곳까지 닿으려나?,
0,수알로킨,,"음, 아직은 잘 모르겠지만 빨리 찾을 수 있게 된다면 좋겠는데 말이지~",
0,수알로킨,,걔가 자긴 별이 될 거라 그랬어. 꽤나 먼 곳의 별이 된 모양이야~ 이렇게 큰 걸로 찾아야되는 걸 보면.,
0,수알로킨,,"내 상상이 아닌, '진짜' 친구였지만…… 그 친구는 그러니까 오히려 믿어달라고 했었어.",
0,수알로킨,,'진짜' 친구라면 거짓은 얘기하지 않는다고 했으니까.,
0,수알로킨,,"그러니 당연히 나한테 거짓말했을 리는 없고, 열심히 찾아보는 수밖에!",
0,수알로킨,,꼬마! 너도 망원경을 가지고 있으니 같이 찾아줘!,
0,player,,예? 저도요?,
0,수알로킨,,그럼! 같이 찾으면 상상은 빼고 '진짜'끼리 한 번 얘기해보자고.,
0,수알로킨,,왜냐하면 너도 내 '진짜' 친구이니까!,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
