phase,talker,behaviour,dialogue,nextPhases
0,수알로킨,,"오, 안녕! 다시 만났네! ",
0,수알로킨,,"좋아, 또 본 김에 특별히 너에게만 선물을 주도록 하지! 뭔가 먹고 싶은 거라도 있어?",
0,*,Select,글쎄요…… 별로 생각나는 게……|뭔가 달콤한 걸 먹고 싶어요.,1|2
1,수알로킨,,"어? 뭐야, 의외로 욕심이 없네?",
1,수알로킨,,"이런 반응은 예상치 못했는데…… 아니, 상상도 못했다고 해야하나.",
1,수알로킨,,혹시 달달한 거라도 먹고 싶지 않아? 생크림 케이크라던가……,
1,player,,음...... 있으면 좋을 거 같긴 해요.,
1,*,Next,,2
2,수알로킨,,좋아! 그럼 내가 당장 엄청 단 생크림 케이크를 만들어줄게!,
2,수알로킨,,이야아아압! 나와라!,
2,수알로킨,,"…… 어, 어라라?",
2,player,,거…… 검은 덩어리……?,
2,수알로킨,,"자, 잘못 가져왔나봐! 아하하~",
2,수알로킨,,"뭐, 뭐지! 원래 이렇게 실수하는 편이 아닌데.",
2,수알로킨,,"아! 소, 손에 땀이 너무 많았네!",
2,수알로킨,,원래 땀을 잘 안 흘리는 편인데! 아하하~,
2,player,,괜찮으세요? 땀을 엄청 흘리시는데……,
2,수알로킨,,"기, 기다려! 더 좋은 걸 만들어서 올테니까! 기다리라구!",
2,player,,아…… 그냥 가버렸네.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
