phase,talker,behaviour,dialogue,nextPhases
0,???,,"어머, 너는 누구니…?",
0,???,,흠… 설마 또 중력장이 휘었나…?,
0,*,Select,(설명해준다),-1
0,???,,"…아아, 그렇게 된 거야? 별일이네, 어쩐지 평소와는 다르다 했는데.",
0,???,,"그치만, 한편으로는 이렇게 강한 이끌림이라니… 분명히 연구해볼 만한 가치가 있겠는데.",
0,???,,"아, 어쩌면, 으음… 그게 그렇게 되서… 어음…",
0,???,,… … … … … …,
0,???,,… … … … … …,
0,*,Select,(툭툭 건드려 본다)|(조금 더 기다려본다),"`-1|1"
0,???,,"아, 미안. 한창 생각하니까 네가 있는 것까지 까먹을 뻔했지 뭐야. 후후…",
0,???,,"아 맞다, 혹시 내가 누군지는 아니?",
0,player,,… … … … … …,
0,???,,"역시, 모를 확률이 매우 높다고 생각은 했지만 말이야.",
0,*,Next,,2
1,???,,… … … … … …,
1,player,,… … … … … …,
1,???,,… … … … … …,
1,player,,... … … … … …,
1,???,,"… 그럴 리가 없겠구나, 그래, 이제 알겠어.",
1,???,,"… 아, 이런. 사람을 옆에 두고 이게 무슨 꼴이람, 후후.",
1,???,,"그게, 가끔씩 이렇게 생각하다 보면 시간 가는 줄도 모르겠단 말이야. 주변이 완전히 깜깜해진다니까.",
1,???,,"그나저나, 넌 내가 누군지 알려나…?",
1,player,,… … … … … …,
1,???,,"후후, 그렇구나. 뭐, 처음 봤는 데 모르는 건 어찌 보면 당연한 거겠지.",
1,*,Next,,2
2,???,,그러면 우선 여기서는 자기소개를 하는 것이 정석이려나.,
2,???,,"만나서 반가워, 난 투반이라고 해.",
2,투반,,"우리 귀여운 꼬마 아가씨, 어때? 내 연구 이야기를 들어보는 거.",
2,투반,,물론 여기서 다 풀기에는 너무나 많은 양이지만 말이지… 후후.,
2,투반,,아 맞다. 혹시 가끔 보이는 오로라는 어째서 생겨나는지 알고 있어?,
2,투반,,원한다면 이 밤이 다 가도록 가르쳐 줄 수도 있는데 말이야… 후후후.,
2,player,,… … … … … …,
