phase,talker,behaviour,dialogue,nextPhases
0,player,,표정이 왜 이리 뚱해요?,
0,천왕성,,……,
0,천왕성,,스스로가 쪽팔려서.,
0,*,Select,무슨 일 있으셨어요?|당당해지세요!,1|2
1,천왕성,,말하기도 부끄러운데.,
1,천왕성,,그래도 말하러 온 거니까. 음.,
1,*,Next,,3
2,천왕성,,평소에는 늘 당당하지.,
2,천왕성,,근데 지금은 아냐. 좀 부끄러워서.,
2,*,Next,,3
3,천왕성,,"내가 가서 좀 생각해봤는데, 혹시 걔는 나랑 같이 놀러가고 싶은데 바깥에 나가길 싫어서 포기한 게 아닐까 생각했어.",
3,천왕성,,별들을 만나는 걸 싫어하는데 태양계 바깥에 관심을 가질 이유가 없잖아?,
3,천왕성,,그래서 내 생각을 그대로 물어봤는데.,
3,player,,물어봤는데요?,
3,천왕성,,…… 썩은 표정으로 날 쳐다보더라.,
3,천왕성,,"자신은 그냥 우주에 대해 알아가는 게 좋은 거지, 별들과 수다떠는 건 필요 없대.",
3,천왕성,,"으, 난 왜 그따구로 추측을 해서 부끄러운 일을 만든 걸까.",
3,천왕성,,"뭐, 그래도 얻은 게 없는 건 아냐.",
3,천왕성,,일단 차이점이 아닌 공통점을 찾았다는 거에서 큰 수확이지.,
3,player,,공통점이요?,
3,천왕성,,"이 넓은 우주에 관심이 있다는 거. 접근하는 방법은 다르지만, 관심사는 같은 거잖아?",
3,천왕성,,"또, 가족 전부를 진심으로 아끼고 있단 거.",
3,천왕성,,그리고 어색해진 가족에게 서로 다가가려고 노력한다는 거 정도.,
3,천왕성,,걔와 난 달라. 하지만 비슷하지. 다른 행성이지만 쌍둥이니까.,
3,천왕성,,그걸 인정하고 나니 마음이 훨씬 편해졌어.,
3,천왕성,,그리고 이렇게 다른 성격인게 오히려 도움되는 날도 오겠지.,
3,천왕성,,"내가 찾아가보고 싶은 별이 어떤 별인지 걔가 말해줄 수 있고, 걔가 직접 보고 싶은 별로 내가 데려다줄 수 있으니까.",
3,천왕성,,그래도 한 가지 양보 못하는 건 있어.,
3,player,,뭔데요?,
3,천왕성,,오빠라고 부를 일은 평생 없을 거야.,
3,player,,……,
3,천왕성,,쌍둥이끼리 무슨 오빠 동생이야.,
3,천왕성,,"만날 때 꼭 호칭 붙이라고 시비털던데, 역시 그건 양보 못해.",
3,천왕성,,이건 관점 차이가 아니라 자존심 문제야.,
3,player,,(예전과 별로 상황이 달라진 게 없지 않나……?),
3,천왕성,,"뭐, 그래도 사이가 훨씬 편해졌으니 그걸로 만족!",
3,천왕성,,난 우리 명왕성이나 보러 가야지. 오빠라고 부르라고 시비 턴 벌이다. 말 안하고 몰래 가야지.,
3,천왕성,,난 이만 가볼게!,
3,천왕성,,얘기가 쌓일 때마다 찾아올 거니 안 찾아올까 봐 걱정하진 말고!,
