phase,talker,behaviour,dialogue,nextPhases
0,베가,,그나저나 너는 볼 때마다 혼자서 멍하니 있는 것 같구나.,
0,베가,,할 일이 그리도 없는 것이냐?,
0,player,,"아니에요. 별을 관찰하기도 하고, 별들이 찾아오면 이야기도 하고요.",
0,베가,,결국 하늘을 보는 일 이외엔 하는 일이 없는 것 아니냐.,
0,베가,,흠…… 최근엔 할 일이 없어 나도 심심하긴 하구나.,
0,베가,,소녀여. 뭔가 재밌는 거 없느냐?,
0,베가,,서민들이 하는 것이라도 좋으니 나의 무료함을 달래줄 것을 갖고와 보거라.,
0,player,,음…… 끝말잇기는 어떠세요?,
0,베가,,끝말잇기? 그건 어떻게 하는 것이냐?,
0,player,,어떤 말의 끝 글자를 다른 3글자짜리 말로 이으면 되요. 그리고 또……,
0,player,,(나는 내가 알고 있는 끝말잇기의 규칙을 설명해주었다.),
0,베가,,음…… 정말 서민들은 이런 걸 하고는 재밌다고 생각하는 것이냐……,
0,베가,,"차라리 검술 훈련이 재밌게 느껴진다만…… 뭐, 한 번 해보도록 하지.",
0,베가,,나는 처음 하는 것이니 네가 먼저 시작하도록 하여라.,
0,player,,그럼…… '해질녘'.,
0,베가,,녘……,
0,player,,……,
0,베가,,…… 다시 하자꾸나! 다시해. 이번엔 내가 먼저 시작하마.,
0,베가,,음…… '직녀성'으로 시작하자꾸나. 나의 별명과도 같은 이름이지.,
0,player,,'성냥갑'.,
0,베가,,…….,
0,player,,…….,
0,베가,,"그만, 그만! 이럴리가 없다! 어째서! 이 내가! 계속 지는 것이냐!",
0,베가,,에잇! 기분만 안좋아졌다. 내가 다시 올 때까지 다른 것을 생각해오거라!,
