phase,talker,behaviour,dialogue,nextPhases
0,player,,오늘따라 기분이 좋아 보여요.,
0,금성,,음? 티 많이 나?,
0,금성,,어제 가족들이랑 한참 수다 떨면서 놀았거든! 오랜만에 정말 실컷.,
0,금성,,"재밌는 일도 꽤 많았어. 얘기하면서 먹으라고 목성 오빠가 가져온 쿠키를 토성 언니가 먹다가 쓰러질 뻔했다거나, 화성이랑 오랜만에 죽이 맞아서 둘이 같이 목성 오빠를 놀려 먹는다거나.",
0,금성,,"저번 네 말을 듣고, 이번에는 사진을 최대한 찍지 않으려고 노력했어.",
0,금성,,작은 것 하나도 기억하려고 하기보다는 순간을 즐기려고 했지.,
0,금성,,화성이 나보고 표정이 유난히 편해 보인다고 이야기하더라.,
0,금성,,걔가 그런 식으로 말하는 건 처음 봤어. 평소에는 늘 아옹다옹하니까.,
0,금성,,그 말을 듣고서야 그동안 사진에 집착해서 정작 소중한 시간을 즐기지 못한다는 걸 깨달았지.,
0,금성,,"네 말대로야. 대화에서 느끼는 즐거움이라거나, 웃긴 이야기를 듣고 환하게 웃는 가족들의 얼굴 같은 건 기록하는 데에만 신경 쓰다가 지금껏 놓쳐버리고 말았어.",
0,금성,,얼마나 많은 즐거움을 놓쳤던 건지 뒤늦게 후회되네.,
0,금성,,하지만 먼 훗날 누군가를 떠나보내는 날이 또 오면 더 크게 후회했겠지.,
0,금성,,"짧진 않았지만, 그렇다고 오랜 만남도 아니었는데 너와의 이야기를 통해 후회를 조금이나마 줄일 수 있었어.",
0,금성,,"음, 오늘 같은 날은 셀카 한 번 찍어도 괜찮을 것 같은데. 방금 같은 말 해두고 이런 제안하는 건 좀 그런가?",
0,*,Select,솔직히 조금…….|아뇨. 기념할만한 날이니까요.,1|2
1,금성,,"으, 그래도 오늘은 좋은 날이잖아. 한 장만 찍을게. 응?",
1,금성,,셀카봉도 챙겨왔다고. 오늘은 사진 한 번도 안 찍었으니 좀 봐줘.,
1,*,Next,,3
2,금성,,그치? 이건 기록이 아니라 기념이잖아.,
2,금성,,이전 같은 마음으로 찍는 게 아니지!,
2,*,Next,,3
3,금성,,사진 한 장 정도는 기억을 떠올리는데 오히려 도움이 될 거라고.,
3,금성,,"자, 그럼 찍는다?",
3,,,(찰칵),
3,금성,,한 장만 찍으니 고르진 못해서 아쉽네. 그래도 잘 나왔어!,
3,금성,,오히려 많이 찍던 때보다 잘 나온 것 같은데?,
3,금성,,맞다. 이건 선물! 단 거 좋아할 것 같아서 케이크 좀 갖고 왔어.,
3,금성,,이곳에 계속 있다 보면 이런 건 잘 못 먹을 것 같기도 했고.,
3,player,,고마워요.,
3,금성,,고맙긴! 내가 고마워서 주는 건데.,
3,금성,,"음, 이제 너도 나도 슬슬 쉴 시간이 된 것 같은데.",
3,금성,,오늘 밤도 잘 자. 혹시 새벽에 깼는데 잠이 안 오면 날 불러도 괜찮아!,
