phase,talker,behaviour,dialogue,nextPhases
0,player,,안녕하세…… 와! 고양이 인형이네요?,
0,주벤엘게누비,,네. 저번의 그 인형 뽑기를 하러 다시 갔습니다.,
0,주벤엘게누비,,참아보려고 했더니 오히려 아무 일도 잡히지 않았거든요. 그때 저번에 얘기하신 게 떠올라서 가봤습니다.,
0,주벤엘게누비,,인형이 아직 거기에 매달려 있길래 전에 생각했던 것처럼 두드리려 했습니다.,
0,주벤엘게누비,,하지만 피해를 보는 사람이 한 명도 없어야 한다는 생각이 들더군요.,
0,주벤엘게누비,,그래서 인형 뽑기를 관리하시는 분이랑 주변 분들에게 사정 얘기하고 양해를 구했습니다.,
0,주벤엘게누비,,그런 다음에 기계를 몇 번 두드렸더니 금방 집게에서 떨어져 얻을 수 있었습니다.,
0,주벤엘게누비,,인형도 얻고 나니 다시 일에도 집중할 수 있었고 마음도 한결 가벼워졌습니다.,
0,player,,"아, 생각해보니 관리하시는 분한테는 양해를 구해야 하겠네요. 기분이 나쁘실 수도 있으니까요.",
0,player,,저였다면 얘기 안 하고 그냥 두드렸을 거예요. 훨씬 좋은 방법으로 해결하셨네요!,
0,주벤엘게누비,,"하하, 이렇게 칭찬 들으니 아무래도 보호자 역할은 저보다 당신이 더 잘 수행한 거 같네요.",
0,player,,"네? 아, 아니에요.",
0,주벤엘게누비,,하하! 그런 부끄러워하는 표정은 처음 보는 거 같네요.,
0,주벤엘게누비,,좀 더 보고 싶은데…… 좀 더 부끄럽게 만들어도 괜찮겠습니까?,
