phase,talker,behaviour,dialogue,nextPhases
0,player,,안녕하세요! 바빠서 못 오시는 줄 알았는데…… 또 오셨네요?,
0,주벤엘게누비,,당신을 보호할 마땅한 적임자를 찾지 못했습니다. 그래서 다시 왔습니다.,
0,*,Select,와 주셔서 기뻐요! 혼자 있으면 심심하거든요.|무리해서 안 오셔도 괜찮은데요……,1|1
1,주벤엘게누비,,아닙니다. 저는 제가 해야 할 일을 하는 거일 뿐이니까요.,
1,player,,해야 할 일이요?,
1,주벤엘게누비,,"당신은 현재 혼자서 이 집을 유지하거나 경제활동, 즉, 현금 등의 금전을 꾸준히 취득할 수 있는 생산활동이나 이성적인 소비행위를 할 수 있는 나이로는 보이지 않습니다. 맞습니까?",
1,player,,"아니요! 제가 돈을 벌지는 않지만, 소비는 나름대로 계획 세워서 하고 있거든요?",
1,주벤엘게누비,,그럼 증거를 보여주십시요.,
1,player,,네? 증거요?,
1,주벤엘게누비,,네. 그렇게 얘기를 하신다면 분명 그렇게 했다는 증거가 있을 텐데요?,
1,주벤엘게누비,,만약 그 증거를 보여주신다면 저도 더는 간섭 안 하겠습니다.,
1,player,,"ㄴ, 네! 조, 좋아요…… 잠시만요. 그러니까 여기 어디…… 가계부가……",
1,주벤엘게누비,,……,
1,player,,죄송해요. 가계부 같은 건 써본 적 없어요. 하지만 정말 계획적으로 사고 있다고요!,
1,player,,어떤 건 너무 사고 싶어서 아무 생각 없이 산 적도 있긴 하지만…… 정말이에요!,
1,주벤엘게누비,,전혀 설득력이 없다는 건 어느 정도 알고는 계시죠?,
1,player,,우으…… 네……,
1,주벤엘게누비,,물론 제가 얘기한 건 저희 나라에서만 통용되는 법이어서 지구에 있는 당신에게는 적용할 어떠한 근거도 없긴 합니다.?,
1,주벤엘게누비,,하지만 지구는 '경제활동을 전혀 할 수 없는 대상에 대해 전혀 신경 쓰지 않는다'고 할 정도로 그렇게 매정한 곳은 아니라고 알고 있습니다.,
1,주벤엘게누비,,그러니 보호자가 생기기 전까지는 당분간 제가 임시 보호자로서 역할을 하고자 하는데 괜찮겠습니까?,
1,player,,네…… 좋아요.,
